,ticker,tradeDate,real_return,market_value,pred
627,600339,2014-07-31,0.07478261,3324389456.0,-0.3123255
681,601000,2014-07-31,0.07472527,9238099343.2,-0.41071713
453,600626,2014-07-31,0.07440101,5632225530.88,-0.35998327
441,600520,2014-07-31,0.0743007,1812439200.0,-0.39907873
13,600093,2014-07-31,0.07418856,2086235325.0,-0.18897258
857,600603,2014-07-31,0.07397959,1525992652.8,-0.3031212
426,600318,2014-07-31,0.07356077,2286900000.0,-0.34103292
615,600293,2014-07-31,0.07347669999999999,1922324508.0,-0.2597532
603,600178,2014-07-31,0.07331976,2268812800.0,-0.29804727
631,600356,2014-07-31,0.07278481,1594728286.0,-0.32639045
850,600596,2014-07-31,0.07260726,6173788313.97,-0.37249523
272,600818,2014-07-31,0.07160194,5297461556.8,-0.38179654
693,601808,2014-07-31,0.07131280000000001,88322167920.0,-0.7904253
682,601058,2014-07-31,0.07060629,5803562000.0,-0.43692845
781,600865,2014-07-31,0.07044410000000001,2456849263.48,-0.30979925
841,600509,2014-07-31,0.07038835,7462939868.64,-0.49627
938,603001,2014-07-31,0.07000686,5842278600.0,-0.43385547
263,600718,2014-07-31,0.06974922,15664102566.2,-0.31958705
103,600202,2014-07-31,0.06946984,2096873475.84,-0.34736744
57,600653,2014-07-31,0.06909091,4802545871.75,-0.3634382
534,600506,2014-07-31,0.06906615,1518426654.44,-0.26476443
492,601616,2014-07-31,0.06905371,3646387800.0,-0.24409053
457,600704,2014-07-31,0.06904488,6869581728.46,-0.6001813
647,600517,2014-07-31,0.06858202,13428395509.1,-0.334552
190,601188,2014-07-31,0.06825939,3855524213.03,-0.67604417
743,600305,2014-07-31,0.06777494,4713411160.0,-0.3366867
166,600850,2014-07-31,0.06727345,8130493294.49,-0.51294774
677,600885,2014-07-31,0.06710158,11416130644.0,-0.6105627
122,600395,2014-07-31,0.06703146,12098429103.9,-0.3973253
692,601801,2014-07-31,0.06699929,12767300000.0,-0.34614065
43,600386,2014-07-31,0.06603774,3846528000.0,-0.22255221
33,600360,2014-07-31,0.06584362,3587068800.0,-0.28792164
752,600398,2014-07-31,0.06543075,41198590163.1,-0.52956283
786,600992,2014-07-31,0.06513872,2031796100.0,-0.2933091
817,600167,2014-07-31,0.06494662,2371640000.0,-0.39614838
331,600363,2014-07-31,0.06485232,4035638425.0,-0.34902555
899,603167,2014-07-31,0.06484642,4231506000.0,-0.4005124
826,600239,2014-07-31,0.06423983,3845414289.28,-0.29830313
820,600183,2014-07-31,0.06360947,9619603640.4,-0.44902092
169,600854,2014-07-31,0.06352087,2862216544.38,-0.32435596
766,600623,2014-07-31,0.06347898,10789243467.9,-0.3806629
100,600038,2014-07-31,0.06344669,16741138734.4,-0.50937176
765,600622,2014-07-31,0.06337663,3306973446.86,-0.30868298
323,600285,2014-07-31,0.06332454,4059566509.12,-0.3869114
576,600873,2014-07-31,0.06321839,16224942867.7,-0.44710034
140,600586,2014-07-31,0.06309148,4509982458.0,-0.26934862
58,600654,2014-07-31,0.06290672,6961497879.88,-0.29804716
461,600741,2014-07-31,0.06277592,29370985989.8,-0.35186538
642,600511,2014-07-31,0.06268657,11227860000.0,-0.39358464
137,600583,2014-07-31,0.06241699999999999,33292801644.0,-0.2938635
734,600261,2014-07-31,0.06179197,9399946300.2,-0.3570767
78,600797,2014-07-31,0.06136681,5899892124.1,-0.45024163
4,600073,2014-07-31,0.06094527,6614790533.64,-0.34192544
591,601799,2014-07-31,0.06065574,4386094590.0,-0.39095294
87,600984,2014-07-31,0.06060606,1594269600.0,-0.24151835
413,600136,2014-07-31,0.06060606,1585459920.0,-0.41032815
437,600486,2014-07-31,0.06049149,5464550723.24,-0.5353562
299,603128,2014-07-31,0.06046152,4264000000.0,-0.52510357
367,600783,2014-07-31,0.05980271,12073507748.7,-0.32664528
393,601567,2014-07-31,0.05973451,5430780000.0,-0.43760505
898,603008,2014-07-31,0.05952381,3175200000.0,-0.35941136
395,601866,2014-07-31,0.05952381,29441475000.0,-0.38803577
407,600028,2014-07-31,0.05938697,609672732581.0,-0.5723948
301,600143,2014-07-31,0.05919662,12108800000.0,-0.38431352
171,600856,2014-07-31,0.05869324,2120529068.07,-0.2543338
698,601929,2014-07-31,0.05866667,16513742576.2,-0.34471038
354,600661,2014-07-31,0.05837004,4730956713.0,-0.53806114
580,601028,2014-07-31,0.05833333,4224000000.0,-0.3839097
442,600521,2014-07-31,0.05829228,9564981660.78,-0.3667112
535,600507,2014-07-31,0.05813953,4561759868.4,-0.36924958
115,600278,2014-07-31,0.05738576,4914294763.99,-0.32008213
142,600588,2014-07-31,0.05723684,17714225312.0,-0.36600775
834,600429,2014-07-31,0.05721393,7115400000.0,-0.4507108
49,600571,2014-07-31,0.05614973,3789165666.0,-0.29750162
560,600701,2014-07-31,0.05596095,2404128931.52,-0.31791276
454,600630,2014-07-31,0.05579399,3959710084.04,-0.38309738
575,600872,2014-07-31,0.05577299,8141632122.68,-0.43698516
815,600165,2014-07-31,0.05570652,2016297833.6,-0.2839235
579,601002,2014-07-31,0.05537459,7300674900.0,-0.4669531
749,600393,2014-07-31,0.05528455,1845000000.0,-0.29138964
455,600636,2014-07-31,0.05524476,5461893165.3,-0.4267771
401,600004,2014-07-31,0.05524461,8533000000.0,-0.34877852
572,600779,2014-07-31,0.05479452,3923021954.94,-0.5052593
151,600617,2014-07-31,0.05451542,10769560382.6,-0.48666075
385,601100,2014-07-31,0.05450734,6010200000.0,-0.35045496
88,600985,2014-07-31,0.05402854,2136132886.24,-0.35710734
130,600555,2014-07-31,0.05389222,4353690000.0,-0.3174969
578,600879,2014-07-31,0.05259087,13441213888.4,-0.3220817
540,600577,2014-07-31,0.05222437,3668454203.7,-0.2878596
504,600053,2014-07-31,0.05205811,3581047008.0,-0.26734015
500,600008,2014-07-31,0.051968499999999994,13970000000.0,-0.39493516
222,600242,2014-07-31,0.05188679,1738412845.08,-0.35504362
246,600530,2014-07-31,0.05188679,2645760000.0,-0.19731085
300,600141,2014-07-31,0.05181818,5838077542.0,-0.43634334
158,600751,2014-07-31,0.05123967,5400525361.0,-0.35803637
842,600523,2014-07-31,0.05102676,4640916366.0,-0.50394446
262,600717,2014-07-31,0.05074257,13532134489.6,-0.39313534
680,600889,2014-07-31,0.05031447,1952960646.24,-0.3367726
164,600758,2014-07-31,0.05,1619917728.0,-0.6165544
235,600350,2014-07-31,0.04966887,14529720888.1,-0.31165096
562,600703,2014-07-31,0.04885057,33311741571.4,-0.5042832
350,600567,2014-07-31,0.04854369,7759895600.72,-0.32353443
254,600539,2014-07-31,0.04845815,1566300000.0,-0.33166713
912,600343,2014-07-31,0.0477707,8015871730.88,-0.29014292
558,600688,2014-07-31,0.04761905,36288000000.0,-0.5243641
321,600283,2014-07-31,0.04653938,2391065400.0,-0.3138393
284,601038,2014-07-31,0.04628502,8176339000.0,-0.3590242
465,600745,2014-07-31,0.04588745,3781180048.8,-0.40375763
828,600332,2014-07-31,0.04563183,33109974266.0,-0.60659635
809,600116,2014-07-31,0.04554455,2702085320.0,-0.37048846
319,600281,2014-07-31,0.04545455,2716042692.0,-0.36302274
914,600346,2014-07-31,0.04513889,2508555787.2,-0.43148038
50,600572,2014-07-31,0.04452926,12726912000.0,-0.3606931
9,600078,2014-07-31,0.04391892,3922431337.12,-0.32769775
304,600148,2014-07-31,0.04354136,1950096681.0,-0.4825669
612,600229,2014-07-31,0.04310345,2295560018.0,-0.27164242
6,600075,2014-07-31,0.04301075,2447343360.0,-0.29663187
124,600422,2014-07-31,0.04296546,8098430401.98,-0.34536886
705,600017,2014-07-31,0.04240283,8704100503.04,-0.41913453
719,600082,2014-07-31,0.04210526,3069050173.5,-0.26947838
452,600624,2014-07-31,0.04173355,5048231736.1,-0.46790627
313,600213,2014-07-31,0.04171364,1951400000.0,-0.3078251
505,600054,2014-07-31,0.04150943,6245387500.0,-0.33084986
335,600369,2014-07-31,0.04109589,26786042793.4,-0.32392594
420,600258,2014-07-31,0.04097222,3332160000.0,-0.29910356
