date,close
2013-07-15,1.663
2013-07-16,1.663
2013-07-17,1.653
2013-07-18,1.633
2013-07-19,1.602
2013-07-22,1.602
2013-07-23,1.643
2013-07-24,1.622
2013-07-25,1.633
2013-07-26,1.612
2013-07-29,1.592
2013-07-30,1.602
2013-07-31,1.602
2013-08-01,1.633
2013-08-02,1.633
2013-08-05,1.643
2013-08-06,1.643
2013-08-07,1.643
2013-08-08,1.643
2013-08-09,1.653
2013-08-12,1.693
2013-08-13,1.693
2013-08-14,1.683
2013-08-15,1.673
2013-08-16,1.673
2013-08-19,1.673
2013-08-20,1.663
2013-08-21,1.663
2013-08-22,1.663
2013-08-23,1.653
2013-08-26,1.683
2013-08-27,1.683
2013-08-28,1.754
2013-08-29,1.724
2013-08-30,1.775
2013-09-02,1.764
2013-09-03,1.764
2013-09-04,1.764
2013-09-05,1.754
2013-09-06,1.754
2013-09-09,1.805
2013-09-10,1.896
2013-09-11,2.089
2013-09-12,2.028
2013-09-13,1.947
2013-09-16,1.937
2013-09-17,1.876
2013-09-18,1.896
2013-09-23,1.906
2013-09-24,1.866
2013-09-25,1.886
2013-09-26,1.835
2013-09-27,1.866
2013-09-30,1.866
2013-10-08,1.866
2013-10-09,1.876
2013-10-10,1.856
2013-10-11,1.917
2013-10-15,1.917
2013-10-16,1.866
2013-10-17,1.866
2013-10-18,1.886
2013-10-21,1.896
2013-10-22,1.896
2013-10-23,1.896
2013-10-24,1.876
2013-10-25,1.846
2013-10-28,1.835
2013-10-29,1.805
2013-10-30,1.866
2013-10-31,1.876
2013-11-01,1.866
2013-11-04,1.856
2013-11-05,1.866
2013-11-06,1.846
2013-11-07,1.835
2013-11-08,1.825
2013-11-11,1.825
2013-11-12,1.835
2013-11-13,1.805
2013-11-14,1.805
2013-11-15,1.825
2013-11-18,1.866
2013-11-19,1.866
2013-11-20,1.866
2013-11-21,1.856
2013-11-22,1.856
2013-11-25,1.846
2013-11-26,1.866
2013-11-27,1.866
2013-11-28,1.886
2013-11-29,1.886
2013-12-02,1.866
2013-12-03,1.876
2013-12-04,1.917
2013-12-05,1.917
2013-12-06,1.917
2013-12-09,1.906
2013-12-10,1.906
2013-12-11,1.876
2013-12-12,1.876
2013-12-13,1.856
2013-12-16,1.835
2013-12-17,1.825
2013-12-18,1.825
2013-12-19,1.795
2013-12-20,1.754
2013-12-23,1.744
2013-12-24,1.764
2013-12-27,1.775
2013-12-30,1.775
2013-12-31,1.775
2014-01-02,1.775
2014-01-03,1.754
2014-01-06,1.704
2014-01-07,1.704
2014-01-08,1.673
2014-01-09,1.653
2014-01-10,1.633
2014-01-13,1.653
2014-01-14,1.673
2014-01-15,1.653
2014-01-16,1.653
2014-01-17,1.633
2014-01-20,1.643
2014-01-21,1.643
2014-01-22,1.673
2014-01-23,1.673
2014-01-24,1.683
2014-01-27,1.673
2014-01-28,1.704
2014-01-29,1.693
2014-01-30,1.683
2014-02-07,1.704
2014-02-10,1.714
2014-02-11,1.724
2014-02-12,1.724
2014-02-13,1.714
2014-02-14,1.734
2014-02-17,1.734
2014-02-18,1.714
2014-02-19,1.744
2014-02-20,1.754
2014-02-21,1.714
2014-02-24,1.673
2014-02-25,1.663
2014-02-26,1.643
2014-02-27,1.643
2014-02-28,1.663
2014-03-03,1.673
2014-03-04,1.663
2014-03-05,1.653
2014-03-06,1.663
2014-03-07,1.653
2014-03-10,1.612
2014-03-11,1.622
2014-03-12,1.633
2014-03-13,1.643
2014-03-14,1.633
2014-03-17,1.653
2014-03-18,1.653
2014-03-19,1.653
2014-03-20,1.643
2014-03-21,1.683
2014-03-24,1.734
2014-03-25,1.714
2014-03-26,1.704
2014-03-27,1.693
2014-03-28,1.704
2014-03-31,1.704
2014-04-01,1.734
2014-04-02,1.744
2014-04-03,1.714
2014-04-04,1.724
2014-04-08,1.754
2014-04-09,1.744
2014-04-10,1.785
2014-04-11,1.764
2014-04-14,1.754
2014-04-15,1.734
2014-04-16,1.734
2014-04-17,1.734
2014-04-22,1.704
2014-04-23,1.704
2014-04-24,1.704
2014-04-25,1.673
2014-04-28,1.653
2014-04-29,1.663
2014-04-30,1.683
2014-05-05,1.673
2014-05-07,1.673
2014-05-08,1.683
2014-05-09,1.785
2014-05-12,1.815
2014-05-13,1.795
2014-05-14,1.775
2014-05-15,1.744
2014-05-16,1.754
2014-05-19,1.724
2014-05-20,1.724
2014-05-21,1.724
2014-05-22,1.714
2014-05-23,1.724
2014-05-26,1.704
2014-05-27,1.714
2014-05-28,1.724
2014-05-29,1.714
2014-05-30,1.724
2014-06-03,1.754
2014-06-04,1.724
2014-06-05,1.714
2014-06-06,1.724
2014-06-09,1.714
2014-06-10,1.724
2014-06-11,1.724
2014-06-12,1.724
2014-06-13,1.734
2014-06-16,1.744
2014-06-17,1.744
2014-06-18,1.724
2014-06-19,1.704
2014-06-20,1.714
2014-06-23,1.704
2014-06-24,1.714
2014-06-25,1.714
2014-06-26,1.714
2014-06-27,1.734
2014-06-30,1.734
2014-07-02,1.734
2014-07-03,1.764
2014-07-04,1.754
2014-07-07,1.744
2014-07-08,1.744
2014-07-09,1.724
2014-07-10,1.734
2014-07-11,1.764
2014-07-14,1.775
2014-07-15,1.797
2014-07-16,1.86
2014-07-17,1.818
2014-07-18,1.828
2014-07-21,1.818
2014-07-22,1.839
2014-07-23,1.849
2014-07-24,1.86
2014-07-25,1.881
2014-07-28,1.912
2014-07-29,1.933
2014-07-30,1.902
2014-07-31,1.933
2014-08-01,1.912
2014-08-04,1.944
2014-08-05,1.975
2014-08-06,2.07
2014-08-07,2.007
2014-08-08,1.986
2014-08-11,2.049
2014-08-12,2.038
2014-08-13,2.038
2014-08-14,2.028
2014-08-15,2.038
2014-08-18,2.038
2014-08-19,2.038
2014-08-20,2.049
2014-08-21,2.017
2014-08-22,2.028
2014-08-25,2.017
2014-08-26,1.975
2014-08-27,1.975
2014-08-28,1.944
2014-08-29,1.975
2014-09-01,1.975
2014-09-02,1.996
2014-09-03,2.007
2014-09-04,2.028
2014-09-05,2.059
2014-09-10,2.08
2014-09-11,2.07
2014-09-12,2.185
2014-09-15,2.206
2014-09-16,2.427
2014-09-17,2.49
2014-09-18,2.396
2014-09-19,2.459
2014-09-22,2.364
2014-09-23,2.438
2014-09-24,2.679
2014-09-25,2.679
2014-09-26,2.669
2014-09-29,2.753
2014-09-30,2.732
2014-10-08,2.732
2014-10-09,2.889
2014-10-10,2.847
2014-10-13,2.826
2014-10-14,2.858
2014-10-15,2.847
2014-10-16,2.805
2014-10-17,2.7
2014-10-20,2.711
2014-10-21,2.627
2014-10-22,2.564
2014-10-23,2.532
2014-10-24,2.543
2014-10-27,2.448
2014-10-28,2.616
2014-10-29,2.658
2014-10-30,2.732
2014-10-31,2.742
2014-11-03,2.837
2014-11-04,3.121
2014-11-05,3.015
2014-11-06,3.079
2014-11-07,2.942
2014-11-10,3.089
2014-11-11,2.973
2014-11-12,2.973
2014-11-13,2.9
2014-11-14,2.921
2014-11-17,2.879
2014-11-18,2.921
2014-11-19,2.879
2014-11-20,2.879
2014-11-21,2.931
2014-11-24,3.047
2014-11-25,3.057
2014-11-26,3.015
2014-11-27,3.047
2014-11-28,3.057
2014-12-01,3.036
2014-12-02,3.121
2014-12-03,3.205
2014-12-04,3.268
2014-12-05,3.152
2014-12-08,3.394
2014-12-09,3.32
2014-12-10,3.499
2014-12-11,3.562
2014-12-12,3.761
2014-12-15,4.14
2014-12-16,4.36
2014-12-17,4.413
2014-12-18,4.854
2014-12-19,5.337
2014-12-22,5.159
2014-12-23,4.833
2014-12-24,4.623
2014-12-29,5.39
2014-12-30,5.306
2014-12-31,5.306
2015-01-05,5.295
2015-01-06,5.138
2015-01-07,5.201
2015-01-08,4.886
2015-01-09,4.896
2015-01-12,4.634
2015-01-13,4.634
2015-01-14,4.612
2015-01-15,4.77
2015-01-16,4.823
2015-01-19,4.339
2015-01-20,4.381
2015-01-21,4.57
2015-01-22,4.539
2015-01-23,4.539
2015-01-26,4.518
2015-01-27,4.623
2015-01-28,4.539
2015-01-29,4.444
2015-01-30,4.329
2015-02-02,4.108
2015-02-03,4.255
2015-02-04,4.276
2015-02-05,4.14
2015-02-06,3.961
2015-02-09,3.993
2015-02-10,4.077
2015-02-11,4.066
2015-02-12,4.087
2015-02-13,4.192
2015-02-16,4.192
2015-02-17,4.203
2015-02-25,4.203
2015-02-26,4.623
2015-02-27,4.875
2015-03-02,4.833
2015-03-03,4.896
2015-03-04,4.781
2015-03-05,4.676
2015-03-06,4.634
2015-03-09,4.665
2015-03-10,4.612
2015-03-11,4.612
2015-03-12,4.686
2015-03-13,4.749
2015-03-16,4.812
2015-03-17,5.264
2015-03-18,5.264
2015-03-19,5.432
2015-03-20,5.369
2015-03-23,5.516
2015-03-24,5.453
2015-03-25,5.348
2015-03-26,5.453
2015-03-27,5.611
2015-03-30,6.168
2015-03-31,5.894
2015-04-01,5.894
2015-04-02,5.842
2015-04-08,6.073
2015-04-09,5.789
2015-04-10,5.842
2015-04-13,5.968
2015-04-14,6.146
2015-04-15,6.472
2015-04-16,6.441
2015-04-17,7.082
2015-04-20,7.786
2015-04-21,7.638
2015-04-22,8.405
2015-04-23,9.057
2015-04-24,9.393
2015-04-27,10.328
2015-04-28,11.358
2015-04-29,11.473
2015-04-30,11.589
2015-05-04,11.316
2015-05-05,10.181
2015-05-06,9.698
2015-05-07,9.204
2015-05-08,9.404
2015-05-11,9.656
2015-05-12,9.887
2015-05-13,9.435
2015-05-14,9.467
2015-05-15,9.393
2015-05-18,8.973
2015-05-19,9.246
2015-05-20,9.456
2015-05-21,9.582
2015-05-22,10.087
2015-05-26,10.538
2015-05-27,10.118
2015-05-28,9.309
2015-05-29,9.036
2015-06-01,9.551
2015-06-02,10.507
2015-06-03,10.37
2015-06-04,10.066
2015-06-05,10.507
2015-06-08,10.738
