Date,601318 CH EQUITY,2318 HK EQUITY
2015/3/20,39.205,46.05
2015/3/23,38.975,46.725
2015/3/24,37.87,45.525
2015/3/25,37.54,45.525
2015/3/26,39.07,45.4
2015/3/27,38.36,45.6
2015/3/30,39.98,46.65
2015/3/31,39.12,46.6
2015/4/1,39.575,47.225
2015/4/2,39.01,46.575
2015/4/8,41.205,48.625
2015/4/9,40.72,49.15
2015/4/10,43.07,52.15
2015/4/13,43.105,53.6
2015/4/14,42.335,52.05
2015/4/15,42.28,53.2
2015/4/16,45.4,54.85
2015/4/17,44.96,54.45
2015/4/20,42.77,52.25
2015/4/21,43.995,54.95
2015/4/22,45.055,56.25
2015/4/23,44.05,54.55
2015/4/24,42.435,55.1
2015/4/27,43.16,54.8
2015/4/28,43.035,55.65
2015/4/29,43.8,55.1
2015/4/30,44.33,55.7
2015/5/4,45.235,55.15
2015/5/5,43.075,53.65
2015/5/6,44.285,54.35
2015/5/7,43.525,54.05
2015/5/8,43.45,55.4
2015/5/11,44.36,55.9
2015/5/12,44.475,55.6
2015/5/13,43.51,54.2
2015/5/14,43.155,54.05
2015/5/15,42.205,55.2
2015/5/18,41.205,54.65
2015/5/19,42.72,55.75
2015/5/20,42.785,56.35
2015/5/21,43.3,56.5
2015/5/22,44.78,59.6
2015/5/26,46.585,61.25
2015/5/27,45.53,60.65
2015/5/28,42.61,58.15
2015/5/29,42.72,57.05
2015/6/1,43.705,58.2
2015/6/2,43.19,57.45
2015/6/3,42.77,56.45
2015/6/4,44.005,56.4
2015/6/5,43.475,55.6
2015/6/8,45.995,57.3
2015/6/9,44.695,55.5
2015/6/10,44.225,54.8
2015/6/11,45.13,55.9
2015/6/12,45.09,57.45
2015/6/15,43.49,55.65
2015/6/16,43.25,54.8
2015/6/17,43.5,55.45
2015/6/18,41.98,55.1
2015/6/19,40.22,53.85
2015/6/23,42.215,55.55
2015/6/24,42.435,55.9
2015/6/25,41.215,55.25
2015/6/26,38.72,53.3
2015/6/29,38.26,51.25
2015/6/30,40.97,52.35
2015/7/2,38.905,50.95
2015/7/3,37.24,49.5
2015/7/6,39.105,47.5
2015/7/7,43.015,45.65
2015/7/8,38.73,42.825
2015/7/9,40.2,45.65
2015/7/10,41.095,47.925
2015/7/13,40.315,48.675
2015/7/14,39.315,47.675
2015/7/15,39.515,46.975
2015/7/16,39.235,47.7
2015/7/17,40.23,48.525
2015/7/20,40.545,48.075
2015/7/21,40.275,48.65
2015/7/22,39.625,48.3
2015/7/23,41.285,49.15
2015/7/24,40.31,48.525
2015/7/27,36.56,47.15
2015/7/28,35.1,46
2015/7/29,34.94,45.5
2015/7/30,34.31,44.75
2015/7/31,33.37,44.6
2015/8/3,33.36,43.45
2015/8/4,34.21,44.15
2015/8/5,33.29,43.8
2015/8/6,32.89,43.3
2015/8/7,33.89,44.05
2015/8/10,35.09,44.5
2015/8/11,34.87,44.55
2015/8/12,33.79,43.45
2015/8/13,34.07,43.4
2015/8/14,33.89,43.25
2015/8/17,32.97,42.8
2015/8/18,31.29,41.5
2015/8/19,31.41,40.3
2015/8/20,30.55,39.6
2015/8/21,29.39,38.8
2015/8/24,26.45,35.8
2015/8/25,25.11,36.5
2015/8/26,26.36,35.9
2015/8/27,29,38.05
2015/8/28,29.65,37.6
2015/8/31,30.29,37.95
2015/9/1,30.16,37.15
2015/9/2,29.98,36.85
2015/9/7,28.88,35.55
2015/9/8,29.76,37.5
2015/9/9,30.22,38.85
2015/9/10,30.27,38.4
2015/9/11,29.84,38.1
2015/9/14,30.14,38.25
2015/9/15,29.46,38.1
2015/9/16,30.55,38.85
2015/9/17,30.26,39.45
2015/9/18,30.57,40.4
2015/9/21,30.96,40.05
2015/9/22,31.77,40.05
2015/9/23,30.77,39.35
2015/9/24,31.14,38.85
2015/9/25,31.23,39
2015/9/29,29.93,38.05
2015/9/30,29.86,38.35
2015/10/8,30.7,42.5
2015/10/9,31.68,42.3
2015/10/12,32.64,42.55
2015/10/13,32.2,42.1
2015/10/14,31.68,41.75
2015/10/15,32.46,42.65
2015/10/16,32.79,43.25
2015/10/19,33.17,43.5
2015/10/20,32.91,43.55
2015/10/22,32.86,43.4
2015/10/23,33.73,43.8
2015/10/26,33.57,43.95
2015/10/27,34.37,44.25
2015/10/28,33.55,44.05
2015/10/29,33.38,43.6
2015/10/30,33.49,43.65
2015/11/2,33.02,43.1
2015/11/3,33.02,42.95
2015/11/4,35,44.15
2015/11/5,35.32,45.4
2015/11/6,36.19,45.6
2015/11/9,36.45,45.8
2015/11/10,36.25,45.2
2015/11/11,35.84,44.9
2015/11/12,35.43,45.35
2015/11/13,35.05,44.5
2015/11/16,35.12,43.65
2015/11/17,35.26,44.15
2015/11/18,34.88,43.95
2015/11/19,35.31,44.25
2015/11/20,35.04,44.75
2015/11/23,34.97,44.6
2015/11/24,34.97,44.55
2015/11/25,35.04,44.3
2015/11/26,35.03,44.3
2015/11/27,33.84,43.3
2015/11/30,33.8,42.45
2015/12/1,34.12,43.3
2015/12/2,36.01,44.25
2015/12/3,35.97,44.25
2015/12/4,34.95,43.8
2015/12/7,34.74,43.85
2015/12/8,34.42,43.3
2015/12/9,34.44,42.7
2015/12/10,34.49,42.25
2015/12/11,34.57,40.95
2015/12/14,35.62,41.25
2015/12/15,35.26,41.55
2015/12/16,35.21,42.15
2015/12/17,35.51,42.65
2015/12/18,35.79,42.7
2015/12/21,36.9,43.4
2015/12/22,36.93,43.5
2015/12/23,36.98,44
2015/12/24,36.92,44.2
2015/12/28,35.7,43.5
2015/12/29,36.15,43.8
2015/12/30,35.76,42.95
2015/12/31,36,43
2016/1/4,34.05,40.85
2016/1/5,34.5,40.4
2016/1/6,34.53,40.1
2016/1/7,33.77,37.95
2016/1/8,33.94,38
2016/1/11,32.03,36.35
2016/1/12,32.21,35.65
2016/1/13,31.99,36.15
2016/1/14,31.99,36.3
2016/1/15,31.2,35.1
2016/1/18,31.07,34.7
2016/1/19,31.51,36.55
2016/1/20,30.53,35.05
2016/1/21,30.15,33.55
2016/1/22,30.22,34.7
2016/1/25,30.26,35.15
2016/1/26,29.23,33.95
