,ticker,tradeDate,real_return,market_value,pred
1016,600088,2019-11-29,0.062250599999999996,4983261192.0,1.22187
1041,600640,2019-11-29,0.39815818,14688546314.0,0.17725259
1127,600381,2019-11-29,-0.04432624,3311022348.0,1.1621507
1131,600386,2019-11-29,0.08139535,2774016000.0,1.2667017
1143,600652,2019-11-29,0.24064171,1557155545.0,0.1522882
1150,600715,2019-11-29,0.11635219999999999,5898434130.0,0.9766413
1168,603258,2019-11-29,0.10234742,5191044300.0,0.86579597
1227,600455,2019-11-29,0.10809959,1981792340.0,0.75412786
1230,600661,2019-11-29,-0.01773455,5008873024.0,1.313042
1261,601098,2019-11-29,0.03108808,20797680000.0,1.422601
1392,603729,2019-11-29,0.04743083,1416870840.0,1.0080533
1430,603000,2019-11-29,0.06512379,20543740638.0,1.1521021
6,600038,2019-11-29,0.04857143,26821189850.0,1.0340039
152,601989,2019-11-29,-0.00757576,120805308624.0,0.85409915
217,600316,2019-11-29,0.02036022,9157552165.0,1.0632371
222,600482,2019-11-29,-0.08966773,37239062120.0,1.1631285
326,600343,2019-11-29,0.04095563,5609833377.0,1.2179512
400,600150,2019-11-29,0.08097367,27741507288.0,0.4759423
419,600372,2019-11-29,0.04093567,24070256856.0,1.3434669
529,600562,2019-11-29,0.05286344,8476416534.0,1.0859948
540,600685,2019-11-29,0.00203804,20806814208.0,0.41912746
563,600967,2019-11-29,0.07265388,16744251138.0,1.2478608
655,600990,2019-11-29,0.06650718,6653686380.0,1.4254047
712,600184,2019-11-29,0.05684995,5459003384.0,1.1921321
732,600435,2019-11-29,0.05852417,11706055200.0,1.1502903
754,600760,2019-11-29,0.12415510000000002,39364943223.0,1.2248129
757,600764,2019-11-29,0.10395656,10178103836.0,1.1806697
758,600765,2019-11-29,0.13793103,6994248768.0,0.9675311
841,600893,2019-11-29,0.06903353,45626846460.0,1.1576506
954,601606,2019-11-29,-0.00182482,7937543264.0,0.9155549
1030,600391,2019-11-29,0.01618837,4486458546.0,1.2068161
1104,600072,2019-11-29,-0.00446429,9895198656.0,0.33439684
1154,600862,2019-11-29,0.14553015,13401132342.0,1.0890766
1242,600677,2019-11-29,0.1978022,3798643576.0,-0.32280302
1257,600879,2019-11-29,0.02047782,15934929818.0,1.0859948
1359,601890,2019-11-29,0.04761905,5238324000.0,1.0859948
1413,600118,2019-11-29,0.05478776,23957229166.0,1.2460049
7,600039,2019-11-29,0.03703704,11698102620.0,1.0859948
30,600610,2019-11-29,0.0,3492355196.0,1.3975086
45,600853,2019-11-29,0.03246753,2579247440.0,1.0859948
54,600939,2019-11-29,0.06415929,8201540000.0,1.1798059
55,601186,2019-11-29,0.04860393,131314166305.0,1.0792022
83,603357,2019-11-29,0.01251203,4722698653.0,0.92527413
85,603359,2019-11-29,0.01696065,4696753600.0,1.1943078
94,603828,2019-11-29,0.01568627,2822005950.0,1.0662417
116,600629,2019-11-29,0.05205811,4412103780.0,1.2036347
121,600820,2019-11-29,0.02721088,18487285068.0,1.1739374
137,601068,2019-11-29,0.06130268,15446328174.0,0.6382
144,601668,2019-11-29,0.09980431,214495467767.0,1.0122352
145,601669,2019-11-29,0.06372549,62420062800.0,1.0134823
153,603030,2019-11-29,-0.19413408,3853610808.0,0.39547408
186,603637,2019-11-29,0.04459459,2577094400.0,1.3113196
191,603698,2019-11-29,0.04488778,6447959700.0,1.2406693
