methodID,pairName,date,premium,HighBond,LowBond,meanLine,Hbond_price,Lbond_price,USPos,asiaPos,USOP,USCL,asiaOP,asiaCL,r_exOP,r_exCL,operation
signal1-model1,2330-TSM,2020-10-27,-0.963598811140407,-0.962953342138544,-0.964591799311648,-0.963772570725096,85.4448839911022,89.3987076917881,0,0,86.71,86.96,447,447.5,0.0352795907567472,0.0351716375914463,
signal1-model1,2330-TSM,2020-10-28,-0.962958230308322,-0.96294906060803,-0.964593494454197,-0.963771277531113,85.1289263108401,89.082688071719,0,0,83.85,85.15,444,445,0.0352199485788751,0.0352808354501835,
signal1-model1,2330-TSM,2020-10-29,-0.962885468266524,-0.962879781592732,-0.964612212417004,-0.963745997004868,84.2570901621539,88.3819476378585,0,0,84.89,84.27,437,436.5,0.035229874933944,0.0352211890673429,
signal1-model1,2330-TSM,2020-10-30,-0.963530841297801,-0.963001873300575,-0.964574650939548,-0.963788262120061,83.2228911004447,86.9177340771531,0,0,83.87,84.43,432,437,0.0352820802314504,0.035229874933944,
signal1-model1,2330-TSM,2020-11-02,-0.963969779652684,-0.963075115144287,-0.964583963707979,-0.963829539426133,82.5502003132551,86.0671311789265,0,0,85.71,84.6,435.5,433,0.0352907961603614,0.0352795907567472,
signal1-model1,2330-TSM,2020-11-03,-0.964336601165246,-0.963079597009688,-0.964626373229388,-0.963852985119538,83.2555469769403,86.8960473151489,0,0,87.69,86.19,441,439.5,0.0352050695300123,0.0352907961603614,
signal1-model1,2330-TSM,2020-11-04,-0.96500743175497,-0.963046384574581,-0.964776025901344,-0.963911205237962,84.0118245253907,88.1371490338871,-88.72,444.5,89.45,88.72,450,444.5,0.0352286338335799,0.0351988736360436,跌下限\收盘加仓亚股
signal1-model1,2330-TSM,2020-11-05,-0.964933767484462,-0.963054375784389,-0.964759794125031,-0.96390708495471,85.8204134148925,89.9736157985135,-90.42,451.5,90.43,90.42,451,451.5,0.0352733686067019,0.035229874933944,跌下限\开盘平\收盘加仓亚股
signal1-model1,2330-TSM,2020-11-06,-0.964570957357306,-0.963057903739132,-0.964820632050826,-0.963939267894979,86.1316124908384,90.4473987235194,-90.42,451.5,91.41,89.81,452.5,455,0.0352137474470033,0.03527585720333,
signal1-model1,2330-TSM,2020-11-09,-0.965439180939903,-0.962988035987423,-0.965013515285139,-0.964000775636281,86.0939861569671,91.0782418785688,0,0,89.03,92.2,458.5,458,0.0351481494499315,0.035210027815922,跌下限\开盘平\收盘平
signal1-model1,2330-TSM,2020-11-10,-0.963539758998205,-0.96294589421558,-0.964988112911869,-0.963967003563725,86.9832164702771,92.0568861782766,0,0,87.66,88.4,451,452,0.0351222253441978,0.0351481494499315,
signal1-model1,2330-TSM,2020-11-11,-0.96460307568663,-0.962961812083771,-0.965046116126911,-0.964003964105341,85.5340097418353,90.6344124031876,0,0,90.88,89.5,457,448.5,0.0351246926589392,0.0351222253441978,
signal1-model1,2330-TSM,2020-11-12,-0.964676811218533,-0.963067198745662,-0.965097434220946,-0.964082316483304,86.919250298746,91.9752266002808,0,0,89.82,90.88,458,463,0.0351642168928898,0.0351222253441978,
signal1-model1,2330-TSM,2020-11-13,-0.964812734680045,-0.963069943801583,-0.965158172430247,-0.964114058115915,87.2200748919177,92.447569259684,0,0,93.22,91.54,462,459,0.0352671486510316,0.0351642168928898,
signal1-model1,2330-TSM,2020-11-16,-0.96619369227422,-0.962948490456135,-0.965456270529999,-0.964202380493067,87.9749362724512,94.3616755032329,-96.42,470,99.27,96.42,484,470,0.0352398068858583,0.0352771016333298,跌下限\收盘加仓亚股
signal1-model1,2330-TSM,2020-11-17,-0.965184595769023,-0.963019651913734,-0.965555495553611,-0.964287573733672,92.243948017838,99.0350525106385,-96.42,470,95.71,97.98,485.5,502,0.0352236703064459,0.0352398068858583,
signal1-model1,2330-TSM,2020-11-18,-0.965287687707991,-0.963040208666434,-0.965656794822384,-0.964348501744409,92.5291210695495,99.5788537884553,-96.42,470,96.93,98.52,497,490,0.035210027815922,0.0352199485788751,
signal1-model1,2330-TSM,2020-11-19,-0.963834312922567,-0.963023643525893,-0.965654414917539,-0.964339029221716,94.648415155072,101.898207006244,-96.42,470,96.61,96.77,490,499,0.0351580353689836,0.0352087881135131,
signal1-model1,2330-TSM,2020-11-20,-0.964354567906472,-0.96306068094273,-0.965668280710086,-0.964364480826408,93.2742550239915,100.358721829948,-96.42,470,95.33,96.66,488,486,0.035155563367903,0.0351580353689836,
signal1-model1,2330-TSM,2020-11-23,-0.964715001840677,-0.963144090384385,-0.965699240452814,-0.964421665418599,93.0187439928865,99.9479447807468,-96.42,470,98.13,97.16,496.5,494.5,0.0351518560179978,0.03512592644631,
signal1-model1,2330-TSM,2020-11-24,-0.964564031168408,-0.963225378241586,-0.965714474598412,-0.964469926419999,94.9048121596256,101.794810764718,-96.42,470,96.64,98.49,492,499.5,0.0352199485788751,0.0351469141009419,
signal1-model1,2330-TSM,2020-11-25,-0.963975874379481,-0.96338017079642,-0.965661446450694,-0.964520808623557,94.6350914262372,100.922156773956,-96.42,470,97.49,96.2,487,495,0.0352348402099996,0.035218708177784,
signal1-model1,2330-TSM,2020-11-26,-0.964344484699464,-0.963606118755943,-0.965581400134465,-0.964593759445204,94.2482762118601,99.6571791215208,-96.42,470,97.49,96.2,489,489,0.0352236703064459,0.0352162276376954,
signal1-model1,2330-TSM,2020-11-27,-0.9650470026679,-0.963746334717791,-0.965592800309627,-0.964669567513709,95.0046934646179,100.103129231667,-96.42,470,98.74,98.54,489,487.5,0.0351864883884588,0.0352174678640606,
signal1-model1,2330-TSM,2020-11-30,-0.964886334911897,-0.963823791157158,-0.965606999396182,-0.96471539527667,94.694532002435,99.6042539427344,-96.42,470,97.02,97.56,480.5,493,0.0350815646377828,0.0350274965848191,
signal1-model1,2330-TSM,2020-12-01,-0.965839108707154,-0.963834417440782,-0.965746623866749,-0.964790520653765,93.2195231798254,98.4235349115927,-98.69,489.5,100.86,98.69,490,489.5,0.0351160585735857,0.0350815646377828,跌下限\开盘平\收盘加仓亚股
