date,signal,usdtwd,usdkrw
2018-02-27,-1,1083.78833881372,-1081.45
2018-02-28,-1,1087.61616287538,-1085.21
2018-03-01,1,-1085.28840938267,1082.84
2018-03-02,1,-1082.15921406828,1079.69
2018-03-05,1,-1080.13470601428,1077.67
2018-03-06,1,-1066.60074353319,1063.96
2018-03-07,-1,1069.92958946953,-1067.43
2018-03-08,-1,1076.594879653,-1074.11
2018-03-09,1,-1068.01380203345,1065.38
2018-03-12,1,-1067.60262962584,1065.02
2018-03-13,-1,1069.42267427539,-1066.88
2018-03-14,0,-0,0
2018-03-15,-1,1072.21804557844,-1069.78
2018-03-16,-1,1073.03538204607,-1070.53
2018-03-19,-1,1075.998574511,-1073.49
2018-03-20,1,-1074.44796714045,1071.91
2018-03-21,1,-1067.36784637281,1064.76
2018-03-22,-1,1083.70388660174,-1081.21
2018-03-23,-1,1086.47201372068,-1083.87
2018-03-26,1,-1078.41322718432,1075.69
2018-03-27,1,-1077.82444509115,1075.13
2018-03-28,1,-1067.34535903451,1064.56
2018-03-29,1,-1065.76813508081,1063.08
2018-03-30,1,-1063.95660110306,1061.26
2018-04-02,1,-1059.89995107841,1057.16
2018-04-03,1,-1057.63998587238,1054.94
2018-04-04,-1,1060.93792642972,-1058.28
2018-04-05,-1,1065.2936701666,-1062.63
2018-04-06,-1,1073.39987075201,-1070.76
2018-04-09,-1,1072.39481382922,-1069.71
2018-04-10,1,-1067.56250251093,1064.82
2018-04-11,-1,1069.51643640215,-1066.82
2018-04-12,-1,1073.74932304797,-1071.04
2018-04-13,1,-1074.40114637679,1071.68
2018-04-16,1,-1073.42035831457,1070.68
2018-04-17,1,-1069.88014791604,1067.12
2018-04-18,-1,1067.83146260573,-1065.12
2018-04-19,1,-1069.93322790339,1067.21
2018-04-20,-1,1073.79537919193,-1071.1
2018-04-23,-1,1083.90143562762,-1081.2
2018-04-24,1,-1080.08515474766,1077.28
2018-04-25,-1,1084.94655944305,-1082.21
2018-04-26,1,-1080.50161480093,1077.69
2018-04-27,1,-1070.75771118717,1067.86
2018-04-30,0,-0,0
2018-05-01,-1,1076.29141282394,-1073.48
2018-05-02,-1,1082.66751721982,-1079.85
2018-05-03,1,-1078.40949425064,1075.56
2018-05-04,1,-1076.97221819898,1074.11
2018-05-07,-1,1082.87707356325,-1080.03
2018-05-08,1,-1081.42533278765,1078.56
2018-05-09,1,-1082.24829448062,1079.38
2018-05-10,1,-1068.79104126147,1065.8
2018-05-11,-1,1070.89799123104,-1067.98
2018-05-14,-1,1073.85832817863,-1070.94
2018-05-15,-1,1083.71529135768,-1080.82
2018-05-16,1,-1080.71403433467,1077.74
2018-05-17,-1,1085.54903229829,-1082.59
2018-05-18,1,-1084.35987528377,1081.37
2018-05-21,1,-1080.69418806457,1077.69
2018-05-22,1,-1079.53550867364,1076.54
2018-05-23,1,-1080.25114605142,1077.25
2018-05-24,-1,1084.59614999313,-1081.69
2018-05-25,1,-1081.38370328264,1078.38
2018-05-28,1,-1078.24099191939,1075.24
2018-05-29,-1,1087.3167202564,-1084.37
2018-05-30,1,-1080.15006919669,1077.1
2018-05-31,-1,1083.60278142713,-1080.59
2018-06-01,1,-1074.97061240752,1071.88
2018-06-04,-1,1073.52261776802,-1070.48
2018-06-05,1,-1075.01263904276,1071.95
2018-06-06,1,-1069.94676956698,1066.88
2018-06-07,-1,1075.22911534481,-1072.19
2018-06-08,0,-0,0
2018-06-11,-1,1079.90607525963,-1076.88
2018-06-12,-1,1084.8743395893,-1081.84
2018-06-13,-1,1089.02987573217,-1086.03
2018-06-14,0,-0,0
2018-06-15,-1,1106.49056116025,-1103.42
2018-06-18,1,-1106.65698502819,1103.51
2018-06-19,-1,1114.96006312963,-1111.89
