date,A00700,A01299,A00005,A00939,A02318,A09988,A00388,A01810,A00941,A01398,A03988,A02269,A00669,A00002,A00883,A02628,A00001,A00003,A00016,A00027,A01109,A02313,A02319,A01177,A00175,A01113,A00011,A01928,A02382,A01093,A02388,A00386,A00688,A02007,A00066,A00017,A00006,A00288,A00857,A00012,A00267,A01044,A00101,A01997,A03328,A00762,A02018,A01038,A00019
2016-04-29,0.00120779325475452,0.0282674778148706,0,0.0307589154570494,0,NaN,0,NaN,0.0748496417446552,0.0267581831575723,0.0762335162071856,NaN,0,0,0.106437831189098,0.0739750817619161,0,0,0,0.0412047700854774,0.0532856351169112,0.0205401858367684,0,0,0.0127215124180546,0.0782272252747832,0.0294644122805832,0,0.0852802380387212,0,0,0,0.0156874464745198,0,0,0.00229244014886044,0,0,0.224395015603337,0,0,0,0,NaN,0.0149195860765023,0.00349309205837957,0,0,0
2016-05-03,0.00710513677387196,0.0178554404533971,0.0264888889682274,0,0.0687470554164956,NaN,0.0608128434397419,NaN,0,0.0309549791412737,0.0387795331040813,NaN,0,0,0,0.0237841793597127,0.00710513677387196,0.0279078653028977,0,0,0,0.0258379420661793,0,0,0.0330503141296248,0,0,0,0.01756428639541,0.00710513677387196,0.0718843860427518,0.0888113327323593,0.0375317538547091,0,0,0.0525091971464396,0,0,0.00710513677387196,0,0.0689761627040954,0.0394715596714678,0.240611732975648,NaN,0,0,0,0,0
2016-05-04,0,0.00506726550839159,0.0931657882218749,0.0235293802443963,0,NaN,0,NaN,0,0.0506241580201264,0.0330689179929637,NaN,0,0,0.119179798916717,0.0678233409809518,0,0,0,0,0.0546939519864945,0,0,0,0,0.0347466915153728,0,0.0405469942642746,0,0,0.0281250786802628,0.106514309943341,0.0519958672333689,0,0,0,0,0.077394612020494,0.0643327226529967,0.0106602990292743,0.0404170276980624,0.0113200906061778,0,NaN,0,0.0501666695559524,0.0366270349285061,0,0
2016-05-05,0.0346640628809995,0.00860269676598121,0.0798302923000175,0.0396514974516011,0.0706509830154174,NaN,0,NaN,0.0390781314494452,0.0361086991014494,0.00698413604112054,NaN,0,0,0,0.0397325683520608,0.0205089579790121,0,0,0,0.0595983453053881,0,0,0,0.0185149589918248,0,0,0,0,0,0.00938176436961299,0.0330720148013199,0.060056222126518,0.0607503283903948,0,0.0763447660781588,0,0,0.121097696506678,0.00494389526216924,0.0431564049103057,0.0188689402007162,0,NaN,0.00500011901641145,0.0744740413232571,0.0389284773801401,0,0
2016-05-06,0,0,0.00787088202315629,0.0807125830214212,0.0708107030403824,NaN,0.000395528455960464,NaN,0.0567827797738155,0.0374295170008469,0.0859897813976847,NaN,0,0,0.0776893450054239,0.0429040232283231,0,0,0,0.0406319864996122,0.0286193385997769,0,0,0.0196188876945755,0,0.0514290871490005,0.0352565426192535,0.00426503775945843,0,0,0.0894111059825649,0,0,0,0,0.0545093543275928,0,0.0316519306366162,0,0,0.0980325699565158,0.0361696903520814,0,NaN,0,0.0498193254759373,0,0,0
2016-05-09,0,0.0619621141880623,0,0,0,NaN,0,NaN,0,0.0190348601404203,0,NaN,0,0.0205796471372912,0,0,0.0112783174726967,0.0500312153675587,0.0153071521155295,0.00955399421578701,0,0.0619621141880623,0,0.0932534092630828,0,0,0.00588427903173317,0,0.0436305185754424,0.0880461555788427,0.0233081614483312,0,0,0.144365878388841,0.0508823170992407,0.00288518780161195,0.0898971160045462,0,0,0.0434517706225566,0.0152816576007368,0,0,NaN,0,0.00358496005038014,0.0701919056673304,0.044785458245406,0.0308418097965101
2016-05-10,0,0.0952983137422754,0,0,0.0250242691117788,NaN,0,NaN,0.00334829492281832,0,0,NaN,0,0,0.142260967869228,0,0,0,0.0104182755330825,0.0346899798641996,0,0,0.0358163728175893,0.00755996500887475,0,0.0889341159569958,0,0.0546388111637062,0,0.00413118046813384,0,0,0.120460075846993,0,0,0.112815177247566,0,0,0.136499059591469,0,0.11351209639311,0.00899040197386305,0,NaN,0.00479207793045187,0.000810564557863463,0,0,0
2016-05-11,0,0,0.0326339828471547,0.00901827706018906,0,NaN,0,NaN,0,0.0216552527960713,0.0402390406429569,NaN,0.0402390406429569,0.060360971038907,0,0,0.0560407057487791,0.0503825855826386,0.0362525184112864,0,0.0236508273299635,0,0,0,0,0.0402390406429569,0.00243531197846179,0,0,0.0626068576894345,0,0,0.0236508273299656,0.0402390406429569,0.0402390406429569,0.0299548085335153,0.0641427522835356,0,0,0.0402390406429569,0.0808317305201881,0.0402390406429569,0.0402390406429569,NaN,0.0402390406429569,0.0402390406429569,0,0.0353252359041185,0.00866694851622223
2016-05-12,0.00409469081077622,0,0,0.0094146744524046,0.0336880692021085,NaN,0.0452630034046071,NaN,0,0.0515704941949307,0.0369834638535605,NaN,0.0501607155575375,0,0,0.0293089979868102,0.0809957547245067,0,0.0504732879276597,0.0094146744524046,0.0094146744524046,0.0747148658182777,0,0,0.0765580163810253,0.0890448227970798,0.00334189954420006,0,0,0,0.0094146744524046,0,0,0,0.0310963786168552,0.0671523609929654,0,0.0094146744524046,0,0.0094146744524046,0.0712014974516544,0.0463633774072071,0,NaN,0,0.0660525955350506,0,0.0260329866263551,0.0094146744524046
2016-05-13,0,0.0167771488773901,0.0204409143351712,0.0374510546479184,0.0173619088646566,NaN,0,NaN,0,0.0116461005064295,0,NaN,0,0.0200507709529539,0.0893056759724789,0.000568574788013229,0,0.035677580468693,0,0.0925637920986535,0,0,0,0.01496628681926,0.0141385437930731,0,0.00111017000329333,0,0.184432098490366,0,0.0407600784928856,0,0.0241552026297641,0,0.00265083271076782,0.0786340144575686,0,0,0.0992040211382215,0.00657298585219978,0.136860408940645,0,0,NaN,0.054671835159596,0,0,0,0
