type,code,date,code2,buy,sel,w
p2,NIFTY,BRIT IS Equity,2020-07-21,3992.58333333333,3880.4,0.0164860032334765
p2,NIFTY,CIPLA IS Equity,2020-07-21,677.066670735677,662.3,0.0235109423868732
p2,NIFTY,COAL IS Equity,2020-07-21,133.533330281576,133.1,0.0180950352211127
p2,NIFTY,DIVI IS Equity,2020-07-21,2309.58333333333,2282.25,0.0229351777077859
p2,NIFTY,DRRD IS Equity,2020-07-21,4107.38330078125,4033.55,0.0263179552362336
p2,NIFTY,EIM IS Equity,2020-07-21,19328.0169270833,2011.67,0.0102971825450389
p2,NIFTY,GAIL IS Equity,2020-07-21,100.516667683919,103.8,0.0146918233806806
p2,NIFTY,GRASIM IS Equity,2020-07-21,605.800008138021,603.1,0.0213147346047309
p2,NIFTY,HCLT IS Equity,2020-07-21,654.5,652.35,0.0111982660697251
p2,NIFTY,HDFC IS Equity,2020-07-21,1817.55000813802,1883.65,0.00866756449670697
p2,NIFTY,HDFCB IS Equity,2020-07-21,1153.63334147135,1138.55,-0.0424201438572466
p2,NIFTY,HDFCLIFE IS Equity,2020-07-21,622.583333333333,627.45,-0.00629693787876981
p2,NIFTY,HMCL IS Equity,2020-07-21,2862.04996744792,2869.15,0.0355009907007472
p2,NIFTY,HNDL IS Equity,2020-07-21,162.800003051758,160,-0.0207921390039856
p2,NIFTY,HUVR IS Equity,2020-07-21,2337.13330078125,2318,0.00155754168128856
p2,NIFTY,ICICIBC IS Equity,2020-07-21,371.09999593099,378.8,-0.0669326152155504
p2,NIFTY,IIB IS Equity,2020-07-21,535.216674804688,523.5,-0.0255594824023661
p2,NIFTY,INFO IS Equity,2020-07-21,945.566650390625,936.75,-0.0176899562528685
p2,NIFTY,IOCL IS Equity,2020-07-21,88.3666687011719,93.45,0.0355823083704094
p2,NIFTY,ITC IS Equity,2020-07-21,192.083338419596,192.25,0.0500657997799981
p2,NIFTY,JSTL IS Equity,2020-07-21,208.366668701172,209.95,0.00859034710708514
p2,NIFTY,KMB IS Equity,2020-07-21,1326.94999186198,1359,0.014247052937209
p2,NIFTY,LT IS Equity,2020-07-21,926,938.05,-0.00184912754420081
p2,NIFTY,MM IS Equity,2020-07-21,591.116658528646,588.3,0.0445879596437592
p2,NIFTY,MSIL IS Equity,2020-07-21,5913.75,6130.85,-0.00564205672564038
p2,NIFTY,NEST IS Equity,2020-07-21,17318.3333333333,17275.6,0.00780261858410272
p2,NIFTY,NTPC IS Equity,2020-07-21,87.8500010172526,88.35,-0.00978627980005486
p2,NIFTY,ONGC IS Equity,2020-07-21,80.5999984741211,82.45,0.0182039223515568
p2,NIFTY,PWGR IS Equity,2020-07-21,164.333333333333,173.65,0.0185121628375181
p2,NIFTY,RIL IS Equity,2020-07-21,1940.68334960938,1971.55,-0.0106939768331514
p2,NIFTY,SBILIFE IS Equity,2020-07-21,862.949991861979,888.35,-0.0164077670946947
p2,NIFTY,SBIN IS Equity,2020-07-21,192.583333333333,194.4,-0.00587375935232675
p2,NIFTY,SRCM IS Equity,2020-07-21,22446.2669270833,22440.75,-0.0122372287353476
p2,NIFTY,SUNP IS Equity,2020-07-21,487.5,477.25,-0.00479962954276595
p2,NIFTY,TATA IS Equity,2020-07-21,356.333333333333,359.15,-0.01193702411474
p2,NIFTY,TCS IS Equity,2020-07-21,2232.91666666667,2225.05,-0.0109780811107515
p2,NIFTY,TECHM IS Equity,2020-07-21,630.59999593099,620.7,-0.0178158529889023
p2,NIFTY,TTAN IS Equity,2020-07-21,1006.31667073568,1015.15,0.0249017516041725
p2,NIFTY,TTMT IS Equity,2020-07-21,106.050000508626,108.45,-0.00648369757749439
p2,NIFTY,UPLL IS Equity,2020-07-21,457.149993896484,458.4,-0.00184388693577893
p2,NIFTY,UTCEM IS Equity,2020-07-21,3902.64998372396,3863.3,-0.0052160505068431
p2,NIFTY,WPRO IS Equity,2020-07-21,278.783325195313,271.35,-0.0966829533149284
p2,NIFTY,ADSEZ IS Equity,2020-07-22,315.816670735677,312,0.00438750538599256
p2,NIFTY,APNT IS Equity,2020-07-22,1724.76668294271,1695.75,0.0241291666001195
p2,NIFTY,AXSB IS Equity,2020-07-22,477.199991861979,478.95,-0.271050700326411
p2,NIFTY,BAF IS Equity,2020-07-22,3304.71663411458,3253,-0.010527883438922
p2,NIFTY,BHARTI IS Equity,2020-07-22,567.483337402344,569.15,0.0223053882986119
p2,NIFTY,BJAUT IS Equity,2020-07-22,3004.46663411458,2985.4,0.0148923848199215
p2,NIFTY,BJFIN IS Equity,2020-07-22,6552.38330078125,6347.4,-0.115123456173173
p2,NIFTY,BPCL IS Equity,2020-07-22,463.016662597656,450.6,0.0187756975918593
p2,NIFTY,BRIT IS Equity,2020-07-22,3913.35001627604,3805.05,-0.0125881661443657
p2,NIFTY,CIPLA IS Equity,2020-07-22,665.933349609375,661.7,5.25668530458915e-05
p2,NIFTY,COAL IS Equity,2020-07-22,133.383331298828,134.1,0.00545839038949383
p2,NIFTY,DIVI IS Equity,2020-07-22,2291.78336588542,2261.75,0.00462019272815929
p2,NIFTY,DRRD IS Equity,2020-07-22,4060.31665039063,4061.6,0.00359241598230724
p2,NIFTY,EIM IS Equity,2020-07-22,20204.25,1989.05,-0.00125690588949587
p2,NIFTY,GAIL IS Equity,2020-07-22,104.36666615804,101.95,0.00417829703015884
p2,NIFTY,GRASIM IS Equity,2020-07-22,606.033345540365,601.8,-0.00265415629595553
p2,NIFTY,HCLT IS Equity,2020-07-22,654.683329264323,650.15,-0.00539389989894653
p2,NIFTY,HDFC IS Equity,2020-07-22,1890.64998372396,1881.05,-0.00192680780822443
p2,NIFTY,HDFCB IS Equity,2020-07-22,1138.30000813802,1126.35,0.0243110558681675
p2,NIFTY,HDFCLIFE IS Equity,2020-07-22,623.916666666667,609.65,0.0270996188038424
p2,NIFTY,HMCL IS Equity,2020-07-22,2851.48331705729,2768,0.0373377736032122
p2,NIFTY,HNDL IS Equity,2020-07-22,160.683334350586,159.9,0.00989172730325603
p2,NIFTY,HUVR IS Equity,2020-07-22,2310.16666666667,2248.5,0.0026875763185466
p2,NIFTY,ICICIBC IS Equity,2020-07-22,387.433329264323,381.1,-0.0644362616841015
p2,NIFTY,IIB IS Equity,2020-07-22,526.466654459635,513.55,-0.0114737032227215
p2,NIFTY,INFO IS Equity,2020-07-22,936.25,917.9,0.0144019596078669
p2,NIFTY,IOCL IS Equity,2020-07-22,93.6500015258789,92,0.0196970633120258
p2,NIFTY,ITC IS Equity,2020-07-22,192.966664632161,196.55,0.00797129720067672
p2,NIFTY,JSTL IS Equity,2020-07-22,211.483332316081,207,0.00341523209733278
p2,NIFTY,KMB IS Equity,2020-07-22,1361.05000813802,1342.35,0.00584307157705622
p2,NIFTY,LT IS Equity,2020-07-22,937.84999593099,920.9,0.01905153683504
p2,NIFTY,MM IS Equity,2020-07-22,588.166666666667,592,0.0220170806629829
p2,NIFTY,MSIL IS Equity,2020-07-22,6096.16666666667,6003.4,0.0334857708621267
p2,NIFTY,NEST IS Equity,2020-07-22,17355.0169270833,17151.85,0.00629187244589856
p2,NIFTY,NTPC IS Equity,2020-07-22,88.8666661580404,90.35,0.00537738155100171
p2,NIFTY,ONGC IS Equity,2020-07-22,82.6833343505859,82.6,0.00905894031974184
p2,NIFTY,PWGR IS Equity,2020-07-22,174.466664632161,179.65,0.0157811666982864
p2,NIFTY,RIL IS Equity,2020-07-22,1979.63334147135,2004,7.51908017942883e-05
p2,NIFTY,SBILIFE IS Equity,2020-07-22,890,859.2,0.00478040522306787
p2,NIFTY,SBIN IS Equity,2020-07-22,194.716664632161,192,-0.00356805911768354
p2,NIFTY,SRCM IS Equity,2020-07-22,22492,21979.45,0.0131936283061058
p2,NIFTY,SUNP IS Equity,2020-07-22,479.866668701172,474.3,0.0033008350033943
p2,NIFTY,TATA IS Equity,2020-07-22,360.883331298828,350.05,0.00856065565573061
p2,NIFTY,TCS IS Equity,2020-07-22,2226,2190.95,0.0130535893725489
p2,NIFTY,TECHM IS Equity,2020-07-22,618.533345540365,617.95,0.0421456985984352
p2,NIFTY,TTAN IS Equity,2020-07-22,1022.11665852865,1057.7,0.00332122426067051
p2,NIFTY,TTMT IS Equity,2020-07-22,108.949999491374,105.15,0.0222196227906573
