date,signal_I1,I50_I1,I300_I1,signal_I2,I300_I2,I500_I2,signal_I3,I50_I3,I500_I3
2004-09-02,1,-1045.36823525136,1045.37,NaN,NaN,NaN,NaN,NaN,NaN
2004-09-03,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-09-06,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-09-07,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-09-08,1,-1031.60796085607,1031.61,NaN,NaN,NaN,NaN,NaN,NaN
2004-09-09,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-09-10,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-09-13,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-09-14,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-09-15,1,-1066.27825641154,1066.28,NaN,NaN,NaN,NaN,NaN,NaN
2004-09-16,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-09-17,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-09-20,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-09-21,1,-1143.45837625776,1143.46,NaN,NaN,NaN,NaN,NaN,NaN
2004-09-22,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-09-23,-1,1157.92906162852,-1157.93,NaN,NaN,NaN,NaN,NaN,NaN
2004-09-24,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-09-27,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-09-28,1,-1136.33801820501,1136.34,NaN,NaN,NaN,NaN,NaN,NaN
2004-09-29,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-09-30,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-10-08,1,-1131.91774945107,1131.92,NaN,NaN,NaN,NaN,NaN,NaN
2004-10-11,1,-1126.32753335366,1126.33,NaN,NaN,NaN,NaN,NaN,NaN
2004-10-12,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-10-13,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-10-14,-1,1060.13050647301,-1060.13,NaN,NaN,NaN,NaN,NaN,NaN
2004-10-15,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-10-18,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-10-19,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-10-20,1,-1062.89839513153,1062.9,NaN,NaN,NaN,NaN,NaN,NaN
2004-10-21,1,-1049.9680367495,1049.97,NaN,NaN,NaN,NaN,NaN,NaN
2004-10-22,-1,1063.13929780809,-1063.14,NaN,NaN,NaN,NaN,NaN,NaN
2004-10-25,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-10-26,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-10-27,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-10-28,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-10-29,-1,1050.29922330122,-1050.3,NaN,NaN,NaN,NaN,NaN,NaN
2004-11-01,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-11-02,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-11-03,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-11-04,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-11-05,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-11-08,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-11-09,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-11-10,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-11-11,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-11-12,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-11-15,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-11-16,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-11-17,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-11-18,1,-1085.02813338334,1085.03,NaN,NaN,NaN,NaN,NaN,NaN
2004-11-19,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-11-22,1,-1094.34820940681,1094.35,NaN,NaN,NaN,NaN,NaN,NaN
2004-11-23,1,-1084.87799877266,1084.88,NaN,NaN,NaN,NaN,NaN,NaN
2004-11-24,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-11-25,-1,1076.33914175106,-1076.34,NaN,NaN,NaN,NaN,NaN,NaN
2004-11-26,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-11-29,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-11-30,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-12-01,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-12-02,1,-1056.05831197906,1056.06,NaN,NaN,NaN,NaN,NaN,NaN
2004-12-03,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-12-06,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-12-07,-1,1048.17925247133,-1048.18,NaN,NaN,NaN,NaN,NaN,NaN
2004-12-08,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-12-09,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-12-10,-1,1043.54921719204,-1043.55,NaN,NaN,NaN,NaN,NaN,NaN
2004-12-13,-1,1037.44913651255,-1037.45,NaN,NaN,NaN,NaN,NaN,NaN
2004-12-14,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-12-15,-1,1037.87915188043,-1037.88,NaN,NaN,NaN,NaN,NaN,NaN
2004-12-16,-1,1033.26926739905,-1033.27,NaN,NaN,NaN,NaN,NaN,NaN
2004-12-17,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-12-20,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-12-21,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-12-22,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-12-23,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-12-24,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-12-27,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-12-28,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-12-29,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-12-30,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-12-31,-1,999.999202667151,-1000,NaN,NaN,NaN,NaN,NaN,NaN
2005-01-04,0,-0,0,1,-0,986.927,1,-0,986.927
2005-01-05,1,-992.55810184171,992.56,1,-1003.52711959888,1003.63,1,-1003.48338514753,1003.63
2005-01-06,0,-0,0,0,-0,0,0,-0,0
2005-01-07,0,-0,0,0,-0,0,0,-0,0
2005-01-10,0,-0,0,0,-0,0,0,-0,0
2005-01-11,0,-0,0,0,-0,0,-1,1008.33910608919,-1008.34
2005-01-12,0,-0,0,0,-0,0,0,-0,0
2005-01-13,1,-996.878208443799,996.88,1,-1013.06854160738,1013.07,1,-1013.06737639147,1013.07
2005-01-14,0,-0,0,-1,1000.16940954175,-1000.17,-1,1000.16951019767,-1000.17
2005-01-17,0,-0,0,0,-0,0,0,-0,0
2005-01-18,0,-0,0,1,-991.41728346588,991.419,1,-991.416499504759,991.419
2005-01-19,0,-0,0,0,-0,0,0,-0,0
2005-01-20,-1,956.24937413905,-956.25,0,-0,0,-1,972.462565597958,-972.463
2005-01-21,-1,982.599497944877,-982.6,-1,988.519096161178,-988.519,-1,988.519914248422,-988.519
2005-01-24,1,-998.128292092101,998.13,1,-1008.168576663,1008.17,1,-1008.16755556056,1008.17
2005-01-25,0,-0,0,-1,999.552818872363,-999.553,-1,999.552650776008,-999.553
2005-01-26,0,-0,0,-1,987.954374364114,-987.955,-1,987.954047315028,-987.955
2005-01-27,0,-0,0,0,-0,0,0,-0,0
2005-01-28,-1,969.209351807408,-969.21,-1,952.413453856684,-952.413,-1,952.414236000019,-952.413
2005-01-31,-1,954.879682766453,-954.88,-1,922.65375187954,-922.653,-1,922.654915846506,-922.653
2005-02-01,-1,955.949316657807,-955.95,-1,913.331176857163,-913.331,-1,913.331748388993,-913.331
2005-02-02,0,-0,0,0,-0,0,1,-964.241211153374,964.243
2005-02-03,0,-0,0,-1,945.311641370801,-945.312,-1,945.311425482335,-945.312
2005-02-04,-1,1016.85937383646,-1016.86,-1,962.027613387597,-962.028,-1,962.028045180869,-962.028
2005-02-16,1,-1023.57824225316,1023.58,1,-972.335673888181,972.337,1,-972.334688544908,972.337
2005-02-17,1,-1020.60827798489,1020.61,1,-977.270298427821,977.272,1,-977.269206044383,977.272
2005-02-18,0,-0,0,0,-0,0,1,-964.767220261278,964.769
2005-02-21,0,-0,0,0,-0,0,-1,981.818036915444,-981.819
2005-02-22,1,-1046.73798097939,1046.74,1,-1007.68852281347,1007.69,1,-1007.68720915923,1007.69
2005-02-23,1,-1043.93763978301,1043.94,1,-1019.25771667485,1019.26,1,-1019.25574682729,1019.26
2005-02-24,0,-0,0,1,-1024.4486830932,1024.45,1,-1024.44782891395,1024.45
2005-02-25,0,-0,0,0,-0,0,0,-0,0
2005-02-28,1,-1039.98802906387,1039.99,1,-1020.84870991104,1020.85,1,-1020.84752563504,1020.85
2005-03-01,0,-0,0,1,-1021.1586151979,1021.16,1,-1021.1581194126,1021.16
2005-03-02,0,-0,0,0,-0,0,-1,1006.14895615101,-1006.15
2005-03-03,0,-0,0,0,-0,0,0,-0,0
2005-03-04,0,-0,0,-1,1003.20941319203,-1003.21,-1,1003.20933158824,-1003.21
2005-03-07,0,-0,0,0,-0,0,0,-0,0
2005-03-08,1,-1048.98815766124,1048.99,1,-1029.45867554531,1029.46,1,-1029.45757207989,1029.46
2005-03-09,1,-1046.53788475113,1046.54,1,-1032.54851515073,1032.55,1,-1032.54707739048,1032.55
2005-03-10,0,-0,0,0,-0,0,-1,1005.53937631078,-1005.54
2005-03-11,0,-0,0,0,-0,0,0,-0,0
2005-03-14,0,-0,0,-1,1007.76951633725,-1007.77,-1,1007.76940714626,-1007.77
2005-03-15,0,-0,0,0,-0,0,1,-993.828773280989,993.831
2005-03-16,0,-0,0,0,-0,0,0,-0,0
2005-03-17,-1,992.859088142982,-992.86,0,-0,0,-1,970.965414876292,-970.966
2005-03-18,-1,978.669806208087,-978.67,-1,949.508830336541,-949.509,-1,949.50980761929,-949.509
2005-03-21,0,-0,0,0,-0,0,0,-0,0
2005-03-22,0,-0,0,-1,922.564105544523,-922.564,-1,922.564119238927,-922.564
2005-03-23,0,-0,0,1,-923.192464236667,923.194,1,-923.191440619653,923.194
2005-03-24,0,-0,0,1,-933.345558442285,933.347,1,-933.345159971866,933.347
2005-03-25,0,-0,0,0,-0,0,0,-0,0
2005-03-28,0,-0,0,-1,922.922741485278,-922.923,-1,922.922787842198,-922.923
2005-03-29,0,-0,0,0,-0,0,-1,916.810086911591,-916.811
2005-03-30,-1,937.029325165316,-937.03,-1,888.949271000494,-888.949,-1,888.949914844142,-888.949
2005-03-31,0,-0,0,0,-0,0,0,-0,0
2005-04-01,1,-978.148238825144,978.15,0,-0,0,0,-0,0
2005-04-04,0,-0,0,0,-0,0,0,-0,0
2005-04-05,0,-0,0,0,-0,0,0,-0,0
2005-04-06,0,-0,0,0,-0,0,0,-0,0
2005-04-07,0,-0,0,1,-932.331740718297,932.333,1,-932.33093437793,932.333
2005-04-08,1,-1003.44840845114,1003.45,0,-0,0,0,-0,0
2005-04-11,0,-0,0,1,-948.50740424308,948.509,1,-948.506630621101,948.509
2005-04-12,0,-0,0,-1,927.409625477088,-927.41,-1,927.409714979492,-927.41
2005-04-13,0,-0,0,0,-0,0,1,-950.227204524583,950.229
2005-04-14,0,-0,0,0,-0,0,-1,935.424262909234,-935.425
2005-04-15,0,-0,0,-1,913.271155535273,-913.271,-1,913.271534218945,-913.271
2005-04-18,0,-0,0,0,-0,0,0,-0,0
2005-04-19,0,-0,0,0,-0,0,0,-0,0
2005-04-20,0,-0,0,-1,884.082640523619,-884.083,-1,884.082785969058,-884.083
2005-04-21,0,-0,0,-1,867.328303446637,-867.328,-1,867.328544649997,-867.328
2005-04-22,-1,939.099880394282,-939.1,-1,857.400767896609,-857.401,-1,857.401600353557,-857.401
2005-04-25,-1,930.069542109306,-930.07,-1,841.058102517184,-841.058,-1,841.058728798273,-841.058
2005-04-26,1,-937.078038789384,937.08,1,-855.238269540507,855.24,1,-855.236805537529,855.24
2005-04-27,0,-0,0,-1,839.952840679646,-839.953,-1,839.952570934311,-839.953
2005-04-28,0,-0,0,1,-860.614428352458,860.616,1,-860.613487622809,860.616
2005-04-29,-1,932.399646923912,-932.4,-1,847.610664299509,-847.611,-1,847.611198883245,-847.611
2005-05-09,-1,909.169989894596,-909.17,-1,818.399192120978,-818.399,-1,818.400175528715,-818.399
2005-05-10,0,-0,0,-1,818.087675587328,-818.088,-1,818.087602341496,-818.088
2005-05-11,0,-0,0,1,-811.568772054934,811.57,0,-0,0
2005-05-12,1,-885.818081840354,885.82,1,-807.507855159585,807.51,1,-807.506255270402,807.51
