date,signal_I1,HSI_I1,HSCEI_I1,signal_I2,NKY_I2,TPX_I2,signal_I3,TAMSCI_I3,TWSE_I3
2005-07-21,1,-5090.67992762695,5090.68,1,-1194.83374113703,1194.76,1,-6393.93029110835,6394.03
2005-07-22,0,-0,0,-1,1186.68178724499,-1186.76,-1,6380.62492103591,-6380.73
2005-07-25,0,-0,0,1,-1190.47724756687,1190.27,-1,6420.34636191296,-6420.45
2005-07-26,0,-0,0,-1,1188.94432990656,-1189.01,-1,6366.05614749862,-6366.16
2005-07-27,0,-0,0,-1,1198.958190056,-1198.97,-1,6327.14499624387,-6327.25
2005-07-28,0,-0,0,-1,1201.69446570025,-1201.72,1,-6375.5378427915,6375.64
2005-07-29,0,-0,0,1,-1205.03579697076,1204.98,-1,6311.87510235965,-6311.98
2005-08-01,0,-0,0,-1,1211.50009953785,-1211.61,1,-6307.82730882002,6307.93
2005-08-02,0,-0,0,1,-1209.29056135424,1209.19,1,-6343.44062023991,6343.54
2005-08-03,-1,5323.17999658292,-5323.18,1,-1212.11101328202,1212.02,1,-6455.46770667607,6455.57
2005-08-04,0,-0,0,-1,1204.0439363193,-1204.17,-1,6445.90377368004,-6446.01
2005-08-05,0,-0,0,1,-1189.38133813052,1189.19,0,-0,0
2005-08-08,0,-0,0,-1,1191.82061761831,-1191.9,-1,6379.92347247481,-6380.03
2005-08-09,0,-0,0,-1,1206.13523690731,-1206.27,-1,6379.89398450536,-6380
2005-08-10,0,-0,0,-1,1227.74935385054,-1227.85,-1,6356.73277555241,-6356.84
2005-08-11,0,-0,0,1,-1243.78576746718,1243.74,1,-6353.60701130969,6353.71
2005-08-12,0,-0,0,-1,1245.04100779063,-1245.13,-1,6350.79340256428,-6350.9
2005-08-15,1,-5539.38995321677,5539.39,-1,1248.51944667473,-1248.77,-1,6245.02104846403,-6245.13
2005-08-16,0,-0,0,1,-1252.26146647807,1252.12,1,-6242.29500571622,6242.4
2005-08-17,0,-0,0,-1,1249.97262162888,-1250.1,1,-6241.81463644483,6241.92
2005-08-18,-1,5300.23999910125,-5300.24,1,-1252.97046226238,1252.94,0,-0,0
2005-08-19,-1,5200.75000389002,-5200.75,1,-1250.55150574256,1250.5,-1,6158.83260341498,-6158.94
2005-08-22,0,-0,0,-1,1269.65339598693,-1269.82,1,-6206.54475821774,6206.65
2005-08-23,0,-0,0,-1,1271.98487467312,-1272,1,-6195.0742560353,6195.18
2005-08-24,0,-0,0,-1,1275.57391972157,-1275.61,1,-6127.13453296072,6127.24
2005-08-25,0,-0,0,-1,1267.92180882316,-1268.06,-1,6109.55315183535,-6109.66
2005-08-26,0,-0,0,-1,1272.40084767453,-1272.46,0,-0,0
