,indexID,ticker,porgFullName,secShortName,exchangeCD,tradeDate,preCloseIndex,openIndex,lowestIndex,highestIndex,closeIndex,turnoverVol,turnoverValue,CHG,CHGPct
708,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-12-06,4273.045,4281.896,4251.783,4292.905,4291.068,1589408100,19762076193.0,18.023,0.004218
709,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-12-07,4291.068,4295.293,4291.874,4362.22,4362.22,1913081800,23984106460.0,71.152,0.016581
710,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-12-10,4362.22,4304.749,4288.502,4484.107,4483.831,2775695900,36162755980.0,121.611,0.027878
711,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-12-11,4483.831,4495.497,4464.24,4535.145,4534.937,2910164600,36559593938.0,51.106,0.011398
712,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-12-12,4534.937,4520.926,4497.669,4573.521,4544.681,2566401700,33000825331.0,9.744,0.002149
713,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-12-13,4544.681,4533.088,4401.134,4564.363,4402.636,2658376700,34259145270.0,-142.045,-0.031255
714,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-12-14,4402.636,4359.809,4331.323,4499.559,4499.53,2230746500,27328707409.0,96.894,0.022008
715,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-12-17,4499.53,4512.376,4498.96,4564.249,4506.042,2895440600,37252860431.0,6.512,0.001447
716,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-12-18,4506.042,4489.419,4453.768,4531.258,4467.812,1789208300,22403535572.0,-38.23,-0.008484
717,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-12-19,4467.812,4490.767,4490.767,4575.413,4565.622,2355673000,30232579609.0,97.81,0.021892
718,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-12-20,4565.622,4576.093,4567.788,4627.69,4621.393,2355278800,31128763798.0,55.771,0.012215
719,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-12-21,4621.393,4603.763,4602.095,4692.12,4691.533,2620085700,34920877332.0,70.14,0.015177
720,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-12-24,4691.533,4724.165,4724.077,4810.561,4772.638,3484513800,47242851591.0,81.105,0.017288
721,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-12-25,4772.638,4780.467,4755.007,4820.43,4815.209,2855699700,39091380254.0,42.571,0.00892
722,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-12-26,4815.209,4829.593,4829.593,4912.841,4912.841,3082379900,42780958571.0,97.632,0.020276
723,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-12-27,4912.841,4933.731,4932.919,4987.211,4963.453,3570187700,50580048519.0,50.612,0.010302
724,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-12-28,4963.453,4972.076,4927.637,4984.215,4947.603,2980357100,42722000359.0,-15.85,-0.003193
725,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-01-02,4947.603,4963.052,4960.354,5125.323,5123.934,3434591100,50449935262.0,176.331,0.03564
726,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-01-03,5123.934,5129.048,5110.533,5241.552,5230.749,4198748300,61752735574.0,106.815,0.020846
727,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-01-04,5230.749,5241.089,5171.396,5246.107,5243.032,3330859100,50326511399.0,12.283,0.002348
728,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-01-07,5243.032,5237.939,5222.202,5358.589,5347.806,4040371300,61298206812.0,104.774,0.019983
729,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-01-08,5347.806,5358.806,5158.121,5367.542,5200.552,4247288400,63913950715.0,-147.254,-0.027535
