,tradeDate,ticker,closePrice,sig,sig_true,sig_y,ac,preClosePrice,pct,rep,mID
33,2019-03-29,600051,30.621,0.0,0.0,1.0,s,32.354,-0.05356370155158563,"2019-03-29,600051,s,30.621,平仓,-5.3564%",MBI 0.2
34,2019-04-04,600051,32.709,1.0,1.0,0.0,b,30.621,0.0,"2019-04-04,600051,b,32.709,建仓",MBI 0.2
35,2019-04-19,600051,33.287,0.0,0.0,1.0,s,32.709,0.01767097740682977,"2019-04-19,600051,s,33.287,平仓,1.7671%",MBI 0.2
36,2020-04-17,600051,31.822,1.0,1.0,0.0,b,33.287,0.0,"2020-04-17,600051,b,31.822,建仓",MBI 0.2
37,2020-04-24,600051,27.633,0.0,0.0,1.0,s,31.822,-0.13163848909559428,"2020-04-24,600051,s,27.633,平仓,-13.1638%",MBI 0.2
38,2020-04-30,600051,37.376,1.0,1.0,0.0,b,27.633,0.0,"2020-04-30,600051,b,37.376,建仓",MBI 0.2
39,2020-05-22,600051,38.673,0.0,0.0,1.0,s,37.376,0.034701412671233056,"2020-05-22,600051,s,38.673,平仓,3.4701%",MBI 0.2
40,2020-05-29,600051,39.466,1.0,1.0,0.0,b,38.673,0.0,"2020-05-29,600051,b,39.466,建仓",MBI 0.2
41,2020-06-05,600051,38.533,0.0,0.0,1.0,s,39.466,-0.023640602037196534,"2020-06-05,600051,s,38.533,平仓,-2.3641%",MBI 0.2
42,2020-06-19,600051,38.533,1.0,1.0,0.0,b,38.533,0.0,"2020-06-19,600051,b,38.533,建仓",MBI 0.2
43,2020-06-24,600051,38.113,0.0,0.0,1.0,s,38.533,-0.010899748267718667,"2020-06-24,600051,s,38.113,平仓,-1.0900%",MBI 0.2
44,2020-07-03,600051,45.95,1.0,1.0,0.0,b,38.113,0.0,"2020-07-03,600051,b,45.95,建仓",MBI 0.2
45,2020-07-24,600051,53.181,0.0,0.0,1.0,s,45.95,0.15736670293797594,"2020-07-24,600051,s,53.181,平仓,15.7367%",MBI 0.2
46,2020-07-31,600051,55.399,1.0,1.0,0.0,b,53.181,0.0,"2020-07-31,600051,b,55.399,建仓",MBI 0.2
47,2020-08-07,600051,53.404,0.0,0.0,1.0,s,55.399,-0.03601148035163082,"2020-08-07,600051,s,53.404,平仓,-3.6011%",MBI 0.2
48,2020-08-14,600051,53.729,1.0,1.0,0.0,b,53.404,0.0,"2020-08-14,600051,b,53.729,建仓",MBI 0.2
49,2020-08-28,600051,52.847,0.0,0.0,1.0,s,53.729,-0.016415715907610373,"2020-08-28,600051,s,52.847,平仓,-1.6416%",MBI 0.2
50,2021-02-10,600051,35.355,1.0,1.0,0.0,b,52.847,0.0,"2021-02-10,600051,b,35.355,建仓",MBI 0.2
51,2021-02-19,600051,37.489,0.0,0.0,1.0,s,35.355,0.06035921368971864,"2021-02-19,600051,s,37.489,平仓,6.0359%",MBI 0.2
0,2014-02-28,600054,33.291,1.0,1.0,0.0,b,,0.0,"2014-02-28,600054,b,33.291,建仓",MBI 0.2
1,2014-03-07,600054,32.989,0.0,0.0,1.0,s,33.291,-0.009071520831455904,"2014-03-07,600054,s,32.989,平仓,-0.9072%",MBI 0.2
2,2014-03-21,600054,34.557,1.0,1.0,0.0,b,32.989,0.0,"2014-03-21,600054,b,34.557,建仓",MBI 0.2
3,2014-03-28,600054,33.484,0.0,0.0,1.0,s,34.557,-0.031050149029140273,"2014-03-28,600054,s,33.484,平仓,-3.1050%",MBI 0.2
4,2014-04-04,600054,34.392,1.0,1.0,0.0,b,33.484,0.0,"2014-04-04,600054,b,34.392,建仓",MBI 0.2
5,2014-04-25,600054,33.676,0.0,0.0,1.0,s,34.392,-0.02081879506862061,"2014-04-25,600054,s,33.676,平仓,-2.0819%",MBI 0.2
6,2014-08-08,600054,37.826,1.0,1.0,0.0,b,33.676,0.0,"2014-08-08,600054,b,37.826,建仓",MBI 0.2
7,2014-08-29,600054,38.102,0.0,0.0,1.0,s,37.826,0.0072965684978585355,"2014-08-29,600054,s,38.102,平仓,0.7297%",MBI 0.2
8,2014-09-05,600054,39.4,1.0,1.0,0.0,b,38.102,0.0,"2014-09-05,600054,b,39.4,建仓",MBI 0.2
9,2014-09-30,600054,40.118,0.0,0.0,1.0,s,39.4,0.01822335025380717,"2014-09-30,600054,s,40.118,平仓,1.8223%",MBI 0.2
10,2015-01-30,600054,45.419,1.0,1.0,0.0,b,40.118,0.0,"2015-01-30,600054,b,45.419,建仓",MBI 0.2
11,2015-02-06,600054,44.618,0.0,0.0,1.0,s,45.419,-0.017635791188709504,"2015-02-06,600054,s,44.618,平仓,-1.7636%",MBI 0.2
12,2015-03-13,600054,48.456,1.0,1.0,0.0,b,44.618,0.0,"2015-03-13,600054,b,48.456,建仓",MBI 0.2
13,2015-04-10,600054,54.42,0.0,0.0,1.0,s,48.456,0.12308073303615652,"2015-04-10,600054,s,54.42,平仓,12.3081%",MBI 0.2
14,2015-04-17,600054,56.297,1.0,1.0,0.0,b,54.42,0.0,"2015-04-17,600054,b,56.297,建仓",MBI 0.2
15,2015-04-30,600054,56.546,0.0,0.0,1.0,s,56.297,0.004422971028651634,"2015-04-30,600054,s,56.546,平仓,0.4423%",MBI 0.2
16,2015-05-15,600054,53.564,1.0,1.0,0.0,b,56.546,0.0,"2015-05-15,600054,b,53.564,建仓",MBI 0.2
17,2015-06-19,600054,62.902,0.0,0.0,1.0,s,53.564,0.17433350757971766,"2015-06-19,600054,s,62.902,平仓,17.4334%",MBI 0.2
18,2017-04-21,600054,77.56,1.0,1.0,0.0,b,62.902,0.0,"2017-04-21,600054,b,77.56,建仓",MBI 0.2
19,2017-04-28,600054,75.512,0.0,0.0,1.0,s,77.56,-0.02640536358947909,"2017-04-28,600054,s,75.512,平仓,-2.6405%",MBI 0.2
20,2017-12-01,600054,59.108,1.0,1.0,0.0,b,75.512,0.0,"2017-12-01,600054,b,59.108,建仓",MBI 0.2
21,2017-12-15,600054,58.939,0.0,0.0,1.0,s,59.108,-0.0028591730391824832,"2017-12-15,600054,s,58.939,平仓,-0.2859%",MBI 0.2
22,2018-10-26,600054,38.594,1.0,1.0,0.0,b,58.939,0.0,"2018-10-26,600054,b,38.594,建仓",MBI 0.2
23,2018-11-02,600054,41.227,0.0,0.0,1.0,s,38.594,0.06822303985075395,"2018-11-02,600054,s,41.227,平仓,6.8223%",MBI 0.2
24,2019-03-22,600054,51.329,1.0,1.0,0.0,b,41.227,0.0,"2019-03-22,600054,b,51.329,建仓",MBI 0.2
25,2019-03-29,600054,51.286,0.0,0.0,1.0,s,51.329,-0.0008377330553878126,"2019-03-29,600054,s,51.286,平仓,-0.0838%",MBI 0.2
26,2019-04-04,600054,52.106,1.0,1.0,0.0,b,51.286,0.0,"2019-04-04,600054,b,52.106,建仓",MBI 0.2
27,2019-04-12,600054,49.645,0.0,0.0,1.0,s,52.106,-0.047230645223198864,"2019-04-12,600054,s,49.645,平仓,-4.7231%",MBI 0.2
