,indexID,ticker,secShortName,endDate,tradeDays,preClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,chg,chgPct,avgPrice,mAvgReyurn,yReturn
70,000906.ZICN,000906,中证800,2015-08-31,21,4501.573,4438.612,4926.154,3514.636,3929.897,813547859400,1.06894858317e+13,-571.676,-0.127,4418.878,-0.005717,-0.094842
71,000906.ZICN,000906,中证800,2015-07-31,23,5249.519,5179.597,5327.266,4071.16,4501.573,1311324945500,1.73741261409e+13,-747.946,-0.1425,4665.39,-0.005947,-0.090311
72,000906.ZICN,000906,中证800,2015-06-30,21,5736.511,5772.371,6452.703,4693.764,5249.519,1339641789200,2.18206436859e+13,-486.992,-0.0849,5960.776,-0.003618,-0.061062
73,000906.ZICN,000906,中证800,2015-05-29,20,5395.306,5405.978,6156.894,5061.045,5736.511,1120716393800,1.83821357577e+13,341.205,0.0632,5526.469,0.003367,0.063269
74,000906.ZICN,000906,中证800,2015-04-30,21,4606.897,4613.069,5463.877,4605.001,5395.306,1325236530600,1.9556874429e+13,788.409,0.1711,5106.924,0.007657,0.141773
75,000906.ZICN,000906,中证800,2015-03-31,22,3995.426,4028.727,4704.877,3880.164,4606.897,992062847900,1.30256638621e+13,611.471,0.153,4243.176,0.006561,0.1146
76,000906.ZICN,000906,中证800,2015-02-27,15,3813.397,3741.235,4012.855,3670.828,3995.426,394551567000,4.97860502794e+12,182.029,0.0477,3837.069,0.003193,0.080669
77,000906.ZICN,000906,中证800,2015-01-30,20,3839.39,3868.72,3998.17,3655.929,3813.397,757011766500,9.27764952625e+12,-25.993,-0.0068,3884.36,-0.000102,-0.001851
78,000906.ZICN,000906,中证800,2014-12-31,23,3231.13,3245.21,3848.31,3219.08,3839.39,1216018951300,1.32484092492e+13,608.26,0.1882,3616.677,0.007726,0.12991
79,000906.ZICN,000906,中证800,2014-11-28,20,2937.91,2945.27,3231.63,2912.38,3231.13,593947811000,5.42811636871e+12,293.22,0.0998,3013.713,0.004815,0.09161
80,000906.ZICN,000906,中证800,2014-10-31,18,2878.33,2889.78,2940.89,2774.08,2937.91,377265693500,3.43848709624e+12,59.58,0.0207,2872.929,0.00118,0.024202
81,000906.ZICN,000906,中证800,2014-09-30,21,2700.522,2704.205,2882.27,2703.114,2878.33,427206628700,3.99039009814e+12,177.808,0.0658,2819.366,0.003084,0.054975
82,000906.ZICN,000906,中证800,2014-08-29,21,2680.803,2670.786,2747.368,2655.03,2700.522,349106213700,3.21958631304e+12,19.719,0.0074,2704.774,0.000386,0.006734
83,000906.ZICN,000906,中证800,2014-07-31,23,2470.195,2474.017,2681.004,2454.35,2680.803,317256781600,2.81531329495e+12,210.608,0.0853,2527.241,0.003595,0.058598
84,000906.ZICN,000906,中证800,2014-06-30,20,2446.42,2448.068,2494.106,2400.519,2470.195,163075994100,1.50640188089e+12,23.775,0.0097,2443.828,0.000516,0.009468
85,000906.ZICN,000906,中证800,2014-05-30,20,2437.184,2431.322,2472.047,2371.167,2446.42,156311204300,1.37155910038e+12,9.236,0.0038,2430.976,0.000224,0.004096
86,000906.ZICN,000906,中证800,2014-04-30,21,2440.037,2437.199,2595.78,2400.793,2437.184,211517767600,1.89677879499e+12,-2.853,-0.0012,2503.383,-7e-06,-0.000124
87,000906.ZICN,000906,中证800,2014-03-31,21,2490.651,2486.412,2515.132,2382.611,2440.037,244082639400,2.16512324922e+12,-50.614,-0.0203,2460.096,-0.0009,-0.015528
88,000906.ZICN,000906,中证800,2014-02-28,16,2494.149,2478.114,2657.379,2435.978,2490.651,224635540000,2.18686425022e+12,-3.498,-0.0014,2565.308,-3e-06,-5.7e-05
89,000906.ZICN,000906,中证800,2014-01-30,21,2589.353,2582.912,2586.939,2411.267,2494.149,180034790600,1.76363465454e+12,-95.204,-0.0368,2490.0,-0.001726,-0.029582
90,000906.ZICN,000906,中证800,2013-12-31,22,2699.416,2673.454,2740.226,2507.328,2589.353,218909210400,2.1136335518e+12,-110.063,-0.0408,2625.942,-0.001835,-0.030005
91,000906.ZICN,000906,中证800,2013-11-29,21,2604.35,2601.784,2716.842,2502.574,2699.416,232024749500,2.1933292071e+12,95.066,0.0365,2617.283,0.001774,0.031283
92,000906.ZICN,000906,中证800,2013-10-31,18,2661.781,2660.119,2757.501,2550.797,2604.35,259122594200,2.45435405707e+12,-57.431,-0.0216,2682.946,-0.00114,-0.022864
93,000906.ZICN,000906,中证800,2013-09-30,19,2546.584,2553.413,2754.199,2527.671,2661.781,303062801100,2.77957454673e+12,115.197,0.0452,2662.203,0.002397,0.047063
94,000906.ZICN,000906,中证800,2013-08-30,22,2405.944,2417.296,2633.287,2412.266,2546.584,271044539500,2.51454805869e+12,140.64,0.0585,2536.236,0.002642,0.044745
95,000906.ZICN,000906,中证800,2013-07-31,23,2376.891,2364.172,2544.331,2331.234,2405.944,253379215900,2.38348640917e+12,29.053,0.0122,2435.97,0.000676,0.010783
96,000906.ZICN,000906,中证800,2013-06-28,17,2816.734,2815.552,2834.51,2186.915,2376.891,177294578700,1.66438575758e+12,-439.843,-0.1562,2563.598,-0.009765,-0.189981
97,000906.ZICN,000906,中证800,2013-05-31,22,2601.244,2588.505,2863.408,2578.429,2816.734,254215532700,2.57378307424e+12,215.49,0.0828,2751.08,0.003662,0.062518
98,000906.ZICN,000906,中证800,2013-04-26,18,2654.527,2647.914,2702.222,2565.522,2601.244,159799510800,1.55443459411e+12,-53.283,-0.0201,2636.471,-0.001052,-0.021111
99,000906.ZICN,000906,中证800,2013-03-29,21,2828.576,2827.447,2839.732,2639.656,2654.527,236561033000,2.33636692265e+12,-174.049,-0.0615,2735.531,-0.002881,-0.048909
100,000906.ZICN,000906,中证800,2013-02-28,15,2816.12,2806.723,2926.221,2725.706,2828.576,193904425600,1.94681668337e+12,12.456,0.0044,2833.243,0.000397,0.009713
101,000906.ZICN,000906,中证800,2013-01-31,20,2645.858,2673.152,2827.797,2603.817,2816.12,273941849300,2.62725707645e+12,170.262,0.0644,2718.875,0.003208,0.060185
102,000906.ZICN,000906,中证800,2012-12-31,21,2250.984,2248.525,2645.858,2200.203,2645.858,223539979600,1.92243925012e+12,394.874,0.1754,2445.832,0.00784,0.145369
103,000906.ZICN,000906,中证800,2012-11-30,22,2408.992,2410.753,2476.764,2217.975,2250.984,118728248400,9.79368247197e+11,-158.008,-0.0656,2350.996,-0.003025,-0.049028
104,000906.ZICN,000906,中证800,2012-10-31,18,2445.815,2444.727,2508.738,2382.655,2408.992,116444619700,9.91090713384e+11,-36.823,-0.0151,2453.806,-0.000796,-0.016009
105,000906.ZICN,000906,中证800,2012-09-28,20,2363.29,2359.472,2515.009,2330.786,2445.815,145233348400,1.29277680792e+12,82.525,0.0349,2417.794,0.001846,0.034222
106,000906.ZICN,000906,中证800,2012-08-31,23,2470.537,2468.702,2580.961,2340.098,2363.29,131320121900,1.25631877495e+12,-107.247,-0.0434,2479.719,-0.00188,-0.029415
107,000906.ZICN,000906,中证800,2012-07-31,22,2632.19,2645.681,2668.616,2466.561,2470.537,138500832600,1.42715392444e+12,-161.653,-0.0614,2570.688,-0.002822,-0.045808
108,000906.ZICN,000906,中证800,2012-06-29,20,2822.318,2823.282,2842.128,2584.889,2632.19,130545940800,1.37482989886e+12,-190.128,-0.0674,2711.535,-0.003419,-0.060582
109,000906.ZICN,000906,中证800,2012-05-31,22,2801.004,2836.889,2897.249,2718.21,2822.318,198112174900,2.1174922883e+12,21.314,0.0076,2818.659,0.000402,0.006687
110,000906.ZICN,000906,中证800,2012-04-27,17,2616.708,2612.706,2827.355,2605.433,2801.004,158865607600,1.56407617158e+12,184.296,0.0704,2754.787,0.004071,0.091151
111,000906.ZICN,000906,中证800,2012-03-30,22,2813.294,2800.908,2917.253,2591.766,2616.708,214265942400,2.27269957248e+12,-196.586,-0.0699,2785.158,-0.003195,-0.051701
112,000906.ZICN,000906,中证800,2012-02-29,21,2601.39,2595.174,2884.929,2561.272,2813.294,203722083300,2.00852513005e+12,211.904,0.0815,2717.765,0.003795,0.068047
113,000906.ZICN,000906,中证800,2012-01-31,15,2500.652,2517.841,2643.716,2378.055,2601.39,111681941900,1.07210697982e+12,100.738,0.0403,2544.378,0.002887,0.072677
114,000906.ZICN,000906,中证800,2011-12-30,22,2745.509,2824.936,2859.376,2411.78,2500.652,112795187700,1.07430580792e+12,-244.857,-0.0892,2597.147,-0.00415,-0.066662
115,000906.ZICN,000906,中证800,2011-11-30,22,2919.09,2893.995,3016.141,2726.42,2745.509,163002351100,1.71955258172e+12,-173.581,-0.0595,2901.19,-0.00269,-0.043699
116,000906.ZICN,000906,中证800,2011-10-31,16,2800.623,2808.135,2939.087,2690.523,2919.09,118702209700,1.18392008624e+12,118.467,0.0423,2832.671,0.002733,0.064244
117,000906.ZICN,000906,中证800,2011-09-30,21,3121.627,3127.045,3144.486,2788.268,2800.623,113803601200,1.23443344268e+12,-321.004,-0.1028,2958.85,-0.005058,-0.084358
118,000906.ZICN,000906,中证800,2011-08-31,23,3259.544,3256.098,3280.301,2942.013,3121.627,180386358000,2.07802008424e+12,-137.917,-0.0423,3150.452,-0.001778,-0.02785
