,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig
ticker,600000,600009,600016,600028,600030,600031,600036,600048,600050,600104,600196,600276,600309,600340,600519,600547,600570,600585,600690,600703,600745,600837,600887,600918,601012,601066,601088,601111,601138,601166,601186,601211,601236,601288,601318,601319,601328,601336,601390,601398,601601,601628,601658,601668,601688,601766,601816,601818,601857,601888,601939,601988,601989,603160,603259,603501,603986,603993
tradeDate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-30,,1.0,,,,1.0,1.0,,,,-1.0,,,,,,,,,,,-1.0,,,,,,,,1.0,,,,,1.0,,,,,,,-1.0,,-1.0,,,,,,,-1.0,,,,,,,
2019-05-31,,,,,,,1.0,,,,,,,1.0,,,,-1.0,,,,,,,,-1.0,,,,,,,,,1.0,,1.0,,1.0,-1.0,,,,,,,,,-1.0,,-1.0,,,,,,,
2019-06-28,,,,,-1.0,,,1.0,,,1.0,,,,,,,,,-1.0,,-1.0,,,,1.0,,1.0,1.0,,,-1.0,,,,,,,,,,,,,,,,,,,,-1.0,,,,,,
2019-07-31,,,,,,,-1.0,,,,1.0,,,,,-1.0,,,,,,,,,,,,,-1.0,,,,,,,,,-1.0,,,-1.0,1.0,,1.0,,,,,1.0,,,,,,,,,1.0
2019-08-30,,,,,,,,-1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,-1.0,1.0,,,-1.0,1.0,-1.0,,,,,,,-1.0,,,,,,1.0,,,
2019-09-30,,,,,,,-1.0,,,,,,-1.0,,,,,,,,,,-1.0,,,1.0,1.0,,-1.0,,,1.0,,,,,,,,,,-1.0,,1.0,,,,,,,1.0,,,,,,,
2019-10-31,,,1.0,1.0,,,-1.0,,,,,,-1.0,,,,,,,,,-1.0,-1.0,,,-1.0,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
2019-11-29,1.0,,,,,,,,,,,,-1.0,,-1.0,,,,,1.0,,,,,,-1.0,1.0,,1.0,,-1.0,,,,,,,,,,,-1.0,,1.0,,,,,,,,,,,,,,
2019-12-30,,,-1.0,1.0,,-1.0,,,,,1.0,-1.0,,,,-1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,-1.0,,,1.0,,,,,,
2020-01-23,,,1.0,1.0,,,,,,,1.0,,,,,,,,,-1.0,,,1.0,,,,,,,-1.0,,-1.0,,,1.0,,,-1.0,,,,,,,,,,,,,-1.0,,,,,,,
2020-02-28,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,-1.0,,,1.0,,,,,,,1.0,,-1.0,,,,,,,,,,,,,-1.0,-1.0,,,,,,-1.0,,,
2020-03-31,,1.0,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,-1.0,,-1.0,,,,,,,,-1.0,,,,,,,,,,,,,-1.0,,1.0,,,,,,,-1.0
2020-04-30,,,,,-1.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,-1.0,,,,-1.0,,,,,,,,,,,,1.0,,,,-1.0,,,-1.0
2020-05-29,1.0,,,,1.0,1.0,-1.0,,,,,,,,,-1.0,,,,,,,-1.0,,,-1.0,,,,,,,,,-1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
2020-06-30,,,,-1.0,,,,,,,,,,,-1.0,,,,,-1.0,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,1.0,1.0,,,,,-1.0,,,,,,,,,-1.0
2020-07-31,1.0,,,,-1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,-1.0,1.0,,,,,-1.0,,,,,,,-1.0,,-1.0,,,1.0,,,,,,
2020-08-31,,-1.0,,,,,-1.0,,,,,,-1.0,,-1.0,,,,,,,,,,,,,,,,1.0,,-1.0,1.0,,,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,
